name,modranks,prob,sg.approach,sg.around,sg.tee,sg.putt,sg.total,score,rank,owgr.April,owgr.Feb,actualrank,year,vegasranks
"Woods, Tiger",1,0.1421,0.982678571,0.315589286,0.532482143,0.852214286,2.682964286,276,1.5,11.63,11.82,1,2005,NA
"Singh, Vijay",2,0.1312,1.086606383,0.395978723,0.916234043,-0.040574468,2.358244681,284,7,12.2,12.51,5,2005,NA
"Mickelson, Phil",3,0.0956,0.608339623,0.287660377,0.362943396,-0.040943396,1.218,285,10,9.56,7.44,10,2005,NA
"Els, Ernie",4,0.0752,0.991565217,0.224521739,0.599826087,0.347282609,2.163195652,298,48.5,11.07,10.83,44,2005,NA
"Goosen, Retief",5,0.0437,0.675853659,0.206609756,0.317609756,0.438073171,1.638146341,283,3.5,7.34,6.76,3,2005,NA
"Perry, Kenny",6,0.0321,0.728568966,0.041017241,0.943689655,-0.197758621,1.515517241,292,29.5,4.35,3.55,28,2005,NA
"Cabrera, Angel",7,0.0262,0.200818182,0.084090909,0.704363636,0.131,1.120272727,150,53.5,2.86,2.71,50,2005,NA
"Garcia, Sergio",8,0.0209,0.86482,0.23274,0.72304,-0.63304,1.18756,149,48.5,5.22,5.29,44,2005,NA
"Clarke, Darren",9,0.019,0.190666667,-0.103666667,0.788033333,0.6409,1.515933333,288,18,3.94,3.97,16,2005,NA
"Scott, Adam",10,0.0181,0.520818182,0.022,0.291090909,0.621545455,1.455454545,294,35,4.94,4.25,32,2005,NA
"Cink, Stewart",11,0.0179,0.769151899,0.28564557,-0.24064557,0.847455696,1.661607595,289,22,4.87,4.75,19,2005,NA
"Appleby, Stuart",12,0.0173,-0.271153846,0.058096154,0.434134615,0.321384615,0.542461538,296,42.5,4.4,4.57,40,2005,NA
"Toms, David",13,0.0168,0.835830986,0.079577465,0.148676056,0.208521127,1.272605634,152,64.5,5.12,3.51,58,2005,NA
"Westwood, Lee",14,0.0164,-0.236230769,-0.094192308,0.519923077,0.229384615,0.418884615,150,53.5,2.9,3.06,50,2005,NA
"DiMarco, Chris",15,0.015,0.571075758,0.072984848,0.053409091,0.063590909,0.761060606,276,1.5,4.16,3.54,1,2005,NA
"Couples, Fred",16,0.0142,0.93055,0.23475,0.2385,-0.71715,0.68665,295,39.5,2.66,2.68,36,2005,NA
"Campbell, Chad",17,0.0134,0.668926471,-0.208,0.175132353,-0.356308824,0.27975,288,18,3.51,3.3,16,2005,NA
"Jimenez, Miguel Angel",18,0.0126,0.287333333,-0.288333333,0.231666667,-0.049666667,0.181,293,31.5,3.85,3.99,30,2005,NA
"Verplank, Scott",18,0.0126,0.853353846,-0.045492308,0.358369231,-0.067938462,1.098292308,289,22,3.41,3.07,19,2005,NA
"Harrington, Padraig",20,0.0125,0.061875,0.236,-0.187625,0.282375,0.392625,149,48.5,5.53,5.2,44,2005,NA
"Love III, Davis",21,0.0122,0.287351852,-0.024185185,0.440703704,0.231037037,0.934907407,151,58,4.48,4.65,55,2005,NA
"Clark, Tim",22,0.0112,0.794528571,-0.004057143,0.211842857,-0.038942857,0.963371429,295,39.5,2.87,2.68,36,2005,NA
"Lehman, Tom",23,0.0109,0.847647059,0.243784314,0.398764706,-0.107666667,1.382529412,287,14.5,3.37,2.57,13,2005,NA
"Furyk, Jim",24,0.0092,0.419638298,0.023297872,0.342042553,0.231574468,1.016553191,291,28,2.76,3.18,27,2005,NA
"Herron, Tim",25,0.0088,0.371,0.258333333,0.254,0.353666667,1.237,286,11.5,2.28,2.3,11,2005,NA
"Kelly, Jerry",26,0.0085,0.5236,0.1496,0.1417,0.3001,1.115,289,22,2.51,2.71,19,2005,NA
"Howell III, Charles",27,0.0083,0.130710145,0.090637681,0.660318841,0.174362319,1.056028986,149,48.5,2.64,2.63,44,2005,NA
"Donald, Luke",28,0.0082,0.614222222,0.352388889,0.094240741,0.452666667,1.513518519,283,3.5,4.06,3.33,3,2005,NA
"Weir, Mike",29,0.0075,0.247896552,0.337189655,-0.025482759,-0.08287931,0.476724138,284,7,4.63,4.69,5,2005,NA
"Immelman, Trevor",30,0.0066,0.244727273,-0.183909091,0.225727273,-0.430363636,-0.143818182,284,7,1.88,2.09,5,2005,NA
"Choi, K.J.",31,0.0065,-0.006,0.072,0.198,0.242666667,0.506666667,294,35,2.83,3.02,32,2005,NA
"Maggert, Jeff",31,0.0065,0.237627451,-0.25054902,0.205098039,-0.048078431,0.144098039,289,22,1.94,1.92,19,2005,NA
"Howell, David",33,0.0064,-0.149615385,0.141230769,0.403538462,0.450692308,0.845846154,286,11.5,2.21,2.44,11,2005,NA
"Johnson, Zach",34,0.0063,0.272042553,0.019787234,0.579968085,0.479468085,1.351265957,152,64.5,2.58,2.27,58,2005,NA
"Sabbatini, Rory",35,0.0059,0.178631579,0.267368421,0.383789474,0.24322807,1.073017544,152,64.5,2.37,2.64,58,2005,NA
"Leonard, Justin",36,0.0058,0.330224138,0.176517241,0.082034483,-0.251275862,0.3375,287,14.5,3.06,3.52,13,2005,NA
"Bjorn, Thomas",37,0.0055,0.15425,-0.435666667,0.33975,-0.221416667,-0.163083333,290,26,2.73,3.05,24,2005,NA
"Kaye, Jonathan",37,0.0055,0.10520339,-0.156677966,0.215847458,-0.263338983,-0.098966102,296,42.5,2.51,2.67,40,2005,NA
"Parry, Craig",39,0.0054,-0.120446809,0.254021277,-0.134574468,0.299170213,0.298170213,290,26,2.73,2.64,24,2005,NA
