name,Country,Qualification,SG tee,SG Putt,SG around,SG approach
"An, Byeong Hun",Korea,18,0.435,#N/A,-0.138,0.602
"Berger, Daniel",United States,"12,16,17,18,19",0.29,0.612,-0.259,0.111
"Cabrera, Angel",Argentina,1,#N/A,#N/A,#N/A,#N/A
"Cabrera-Bello, Rafael",Spain,"18,19",-0.573,0.519,0.427,0.077
"Casey, Paul",England,"12,17,18,19",0.073,-0.217,0.528,0.615
"Castro, Roberto",United States,17,0.165,-0.477,-0.021,0.306
"Chappell, Kevin",United States,"17,18,19",0.078,-0.961,0.059,-0.194
"Couples, Fred",United States,1,#N/A,#N/A,#N/A,#N/A
"Dalke, Brad",United States,7-B,#N/A,#N/A,#N/A,#N/A
"Day, Jason",Australia,"4,5,12,15,17,18,19",0.337,-0.218,0.539,-0.304
"Dufner, Jason",United States,"4,17",0.167,0.458,0.119,0.188
"Els, Ernie",South Africa,3,-0.561,-0.032,0.037,-0.329
"Fisher, Ross",England,19,#N/A,#N/A,#N/A,#N/A
"Fitzpatrick, Matthew",England,"12,18,19",-0.695,1.145,0.029,0.089
"Fleetwood, Tommy",England,19,#N/A,#N/A,#N/A,#N/A
"Fowler, Rickie",United States,"5,16,18,19",0.391,0.775,0.287,0.846
"Furyk, Jim",United States,"13,18",-0.383,0.615,0.001,0.17
"Gana, Toto",Chile,10,#N/A,#N/A,#N/A,#N/A
"Garcia, Sergio",Spain,"16,18,19",1.254,-0.607,0.377,0.235
"Grace, Branden",South Africa,"15,16,18,19",0.103,-0.209,-0.332,-0.032
"Gregory, Scott",England,8,#N/A,#N/A,#N/A,#N/A
"Grillo, Emiliano",Argentina,"17,18,19",0.389,-0.332,0.22,0.348
"Haas, Bill",United States,"18,19",0.098,0.144,0.531,0.633
"Hadwin, Adam",Canada,"16,19",0.263,0.815,0.006,0.586
"Hagestad, Stewart",United States,11,#N/A,#N/A,#N/A,#N/A
"Hahn, James",United States,16,0.238,0.131,-0.114,-0.122
"Hatton, Tyrrell",England,"18,19",0.616,1.415,-0.405,0.942
"Hoffman, Charley",United States,16,0.54,-0.395,0.008,0.328
"Holmes, J.B.",United States,"12,14,17,18,19",0.354,0.457,0.366,0.32
"Hughes, Mackenzie",Canada,16,-0.162,0.537,0.054,-0.355
"Hurley III, Billy",United States,16,-0.462,#N/A,#N/A,0.054
"Ikeda, Yuta",Japan,"18,19",#N/A,#N/A,#N/A,#N/A
"Immelman, Trevor",South Africa,1,#N/A,#N/A,#N/A,#N/A
"Johnson, Dustin",United States,"2,12,16,17,18,19",1.069,0.517,0.511,0.856
"Johnson, Zach",United States,"1,3,18,19",0.051,0.564,0.386,-0.446
"Kaymer, Martin",Germany,"2,5,19",0.537,0.586,0.103,0.342
"Kim, Si Woo",Korea,"16,17",-1.302,#N/A,0.288,-1.098
"Kisner, Kevin",United States,"17,19",0.286,0.391,0.367,0.923
"Kjeldsen, S¿ren",Denmark,"12,18",#N/A,#N/A,#N/A,#N/A
"Knox, Russell",Scotland,"16,17,18,19",-0.029,-0.289,-0.093,-0.312
"Koepka, Brooks",United States,"15,18,19",0.31,0.563,0.006,-0.845
"Kuchar, Matt",United States,"17,18,19",0.146,0.508,0.412,-0.044
"Langer, Bernhard",Germany,1,#N/A,#N/A,#N/A,#N/A
"Leishman, Marc",Australia,"16,19",0.241,1.178,0.192,0.091
"Lowry, Shane",Ireland,"13,18",0.838,-0.124,-0.031,0.67
"Luck, Curtis",Australia,"7-A,9",#N/A,#N/A,#N/A,#N/A
"Lyle, Sandy",Scotland,1,#N/A,#N/A,#N/A,#N/A
"Matsuyama, Hideki",Japan,"12,15,16,17,18,19",0.719,-0.463,0.431,0.435
"McGirt, William",United States,"16,17,18",0.424,-0.136,-0.198,0.065
"McIlroy, Rory",Northern Ireland,"3,4,12,16,17,18,19",1.342,-0.027,-0.296,1.783
"Mickelson, Phil",United States,"1,3,14,17,18,19",-0.401,0.806,0.634,0.372
"Mize, Larry",United States,1,#N/A,#N/A,#N/A,#N/A
"Molinari, Francesco",Italy,"18,19",0.383,0.273,-0.054,0.973
"Moore, Ryan",United States,"16,17,18,19",-0.034,0.356,-0.166,0.656
"Na, Kevin",United States,"17,18",-0.302,0.061,0.426,0.438
"Noren, Alex",Sweden,"18,19",-0.544,0.784,0.247,-0.935
"O'Hair, Sean",United States,17,0.248,0.156,-0.175,0.241
"Olazabal, Jose Maria",Spain,1,#N/A,#N/A,#N/A,#N/A
"O'Meara, Mark",United States,1,#N/A,#N/A,#N/A,#N/A
"Oosthuizen, Louis",South Africa,"18,19",0.55,0.078,0.312,0.243
"Pampling, Rod",Australia,16,-0.115,-0.459,0.305,0.154
"Perez, Pat",United States,16,0.172,0.482,0.383,0.005
"Piercy, Scott",United States,"13,18,19",0.273,-0.083,0.008,0.183
"Pieters, Thomas",Belgium,"18,19",-0.14,0.562,-0.088,0.908
"Rahm, Jon",Spain,"16,19",1.022,0.347,0.12,0.827
"Reed, Patrick",United States,"16,17,18,19",0.42,0.582,0.006,-0.623
"Rose, Justin",England,"2,6,12,18,19",0.98,0.249,0.39,0.05
"Schwartzel, Charl",South Africa,"1,17,18,19",-0.013,0.116,-0.067,0.467
"Scott, Adam",Australia,"1,17,18,19",0.348,0.474,0.162,0.19
"Simpson, Webb",United States,2,-0.161,-0.659,0.392,0.917
"Singh, Vijay",Fiji,1,-0.11,-0.78,0.063,-0.235
"Snedeker, Brandt",United States,"12,17,18,19",0.017,0.459,0.206,0.165
"Spieth, Jordan",United States,"1,2,12,16,17,18,19",-0.015,0.486,0.225,1.357
"Steele, Brendan",United States,16,0.414,0.034,0.343,0.658
"Stenson, Henrik",Sweden,"3,18,19",#N/A,#N/A,#N/A,#N/A
"Stricker, Steve",United States,14,#N/A,#N/A,#N/A,#N/A
"Stuard, Brian",United States,16,-0.115,-0.237,0.041,0.361
"Sullivan, Andy",England,18,#N/A,#N/A,#N/A,#N/A
"Summerhays, Daniel",United States,15,0.174,0.094,0.166,-0.54
"Swafford, Hudson",United States,16,0.702,0.027,-0.594,0.22
"Tanihara, Hideto",Japan,19,-0.385,0.231,0.44,0.394
"Thomas, Justin",United States,"16,17,18,19",0.635,0.377,0.242,0.716
"Vegas, Jhonattan",Venezuela,"16,17",0.349,-0.532,0.158,0.34
"Walker, Jimmy",United States,"4,17,18,19",-0.445,0.151,-0.031,0.696
"Wang, Jeunghun",Korea,19,-0.702,0.744,-0.59,-0.401
"Watson, Bubba",United States,"1,17,18,19",0.894,-0.64,-0.515,-0.15
"Weir, Mike",Canada,1,#N/A,#N/A,#N/A,#N/A
"Westwood, Lee",England,"12,18",#N/A,#N/A,#N/A,#N/A
"Wiesberger, Bernd",Austria,"18,19",#N/A,#N/A,#N/A,#N/A
"Willett, Danny",England,"1,18,19",#N/A,#N/A,#N/A,#N/A
"Wood, Chris",England,18,#N/A,#N/A,#N/A,#N/A
"Woodland, Gary",United States,"17,18,19",0.512,0.132,-0.011,0.575
"Woods, Tiger",United States,1,#N/A,#N/A,#N/A,#N/A
"Woosnam, Ian",Wales,1,#N/A,#N/A,#N/A,#N/A
