name,year,hole,yardage,round,par,score,rtp_score,fairway,green,bunker,sand_save,scrambling,putts,par3,par4,par5,sg_approach,sg_around,sg_tee,sg_putt,sg_total,total_score,no_holes,avg_round_score,rank,no_masters,OWGR_april,OWGR_feb,rtp_score_grouped,time,round_hole,round_hole_time,round_year,no_masters_category,performance_by_par,OWGR_change,Level,P(w/ player effects),P(w/o player effects)
"An, Byeong Hun",2016,1,445,1,4,6,2,1,0,0,0,0,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,1,13,2016,1,4.09,-0.1134,2,0.03514,0.03514
"An, Byeong Hun",2016,1,445,1,4,6,2,1,0,0,0,0,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,1,13,2016,1,4.09,-0.1134,1,0.29297,0.29297
"An, Byeong Hun",2016,1,445,1,4,6,2,1,0,0,0,0,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,1,13,2016,1,4.09,-0.1134,0,0.90046,0.90046
"An, Byeong Hun",2016,1,445,1,4,6,2,1,0,0,0,0,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,1,13,2016,1,4.09,-0.1134,-1,0.99735,0.99735
"An, Byeong Hun",2016,2,575,1,5,5,0,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,2,26,2016,1,4.73,-0.1134,2,0.00613,0.00613
"An, Byeong Hun",2016,2,575,1,5,5,0,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,2,26,2016,1,4.73,-0.1134,1,0.06558,0.06558
"An, Byeong Hun",2016,2,575,1,5,5,0,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,2,26,2016,1,4.73,-0.1134,0,0.60507,0.60507
"An, Byeong Hun",2016,2,575,1,5,5,0,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,2,26,2016,1,4.73,-0.1134,-1,0.98456,0.98456
"An, Byeong Hun",2016,3,350,1,4,5,1,1,0,0,0,0,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,3,39,2016,1,4.09,-0.1134,2,0.01447,0.01447
"An, Byeong Hun",2016,3,350,1,4,5,1,1,0,0,0,0,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,3,39,2016,1,4.09,-0.1134,1,0.14315,0.14315
"An, Byeong Hun",2016,3,350,1,4,5,1,1,0,0,0,0,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,3,39,2016,1,4.09,-0.1134,0,0.78482,0.78482
"An, Byeong Hun",2016,3,350,1,4,5,1,1,0,0,0,0,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,3,39,2016,1,4.09,-0.1134,-1,0.99345,0.99345
"An, Byeong Hun",2016,4,240,1,3,3,0,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,4,52,2016,1,3.03,-0.1134,2,0.03508,0.03508
"An, Byeong Hun",2016,4,240,1,3,3,0,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,4,52,2016,1,3.03,-0.1134,1,0.29262,0.29262
"An, Byeong Hun",2016,4,240,1,3,3,0,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,4,52,2016,1,3.03,-0.1134,0,0.90031,0.90031
"An, Byeong Hun",2016,4,240,1,3,3,0,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,4,52,2016,1,3.03,-0.1134,-1,0.99735,0.99735
"An, Byeong Hun",2016,5,455,1,4,4,0,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,5,65,2016,1,4.09,-0.1134,2,0.02806,0.02806
"An, Byeong Hun",2016,5,455,1,4,4,0,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,5,65,2016,1,4.09,-0.1134,1,0.2473,0.2473
"An, Byeong Hun",2016,5,455,1,4,4,0,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,5,65,2016,1,4.09,-0.1134,0,0.87764,0.87764
"An, Byeong Hun",2016,5,455,1,4,4,0,0,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,5,65,2016,1,4.09,-0.1134,-1,0.99666,0.99666
"An, Byeong Hun",2016,6,180,1,3,3,0,0,0,0,0,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,6,78,2016,1,3.03,-0.1134,2,0.02299,0.02299
"An, Byeong Hun",2016,6,180,1,3,3,0,0,0,0,0,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,6,78,2016,1,3.03,-0.1134,1,0.21118,0.21118
"An, Byeong Hun",2016,6,180,1,3,3,0,0,0,0,0,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,6,78,2016,1,3.03,-0.1134,0,0.8539,0.8539
"An, Byeong Hun",2016,6,180,1,3,3,0,0,0,0,0,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,6,78,2016,1,3.03,-0.1134,-1,0.99591,0.99591
"An, Byeong Hun",2016,7,450,1,4,5,1,0,0,1,0,0,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,7,91,2016,1,4.09,-0.1134,2,0.02694,0.02694
"An, Byeong Hun",2016,7,450,1,4,5,1,0,0,1,0,0,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,7,91,2016,1,4.09,-0.1134,1,0.23958,0.23958
"An, Byeong Hun",2016,7,450,1,4,5,1,0,0,1,0,0,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,7,91,2016,1,4.09,-0.1134,0,0.87307,0.87307
"An, Byeong Hun",2016,7,450,1,4,5,1,0,0,1,0,0,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,7,91,2016,1,4.09,-0.1134,-1,0.99652,0.99652
"An, Byeong Hun",2016,8,570,1,5,5,0,0,0,0,0,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,8,104,2016,1,4.73,-0.1134,2,0.00727,0.00727
"An, Byeong Hun",2016,8,570,1,5,5,0,0,0,0,0,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,8,104,2016,1,4.73,-0.1134,1,0.0769,0.0769
