"name"
"Cabrera, Angel"
"Couples, Fred"
"Immelman, Trevor"
"Johnson, Zach"
"Langer, Bernhard"
"Lyle, Sandy"
"Mickelson, Phil"
"Mize, Larry"
"O'Meara, Mark"
"Olazabal, Jose Maria"
"Schwartzel, Charl"
"Scott, Adam"
"Singh, Vijay"
"Spieth, Jordan"
"Watson, Bubba"
"Weir, Mike"
"Willett, Danny"
"Woods, Tiger"
"Johnson, Dustin"
"Rose, Justin"
"Kaymer, Martin"
"Simpson, Webb"
"Els, Ernie"
"McIlroy, Rory"
"Stenson, Henrik"
"Dufner, Jason"
"Day, Jason"
"Walker, Jimmy"
"Fowler, Rickie"
"Luck, Curtis"
"Dalke, Brad"
"Gregory, Scott"
"Gana, Toto"
"Hagestad, Stewart"
"Berger, Daniel"
"Casey, Paul"
"Fitzpatrick, Matthew"
"Holmes, J.B."
"Kjeldsen, Soren"
"Matsuyama, Hideki"
"Snedeker, Brandt"
"Westwood, Lee"
"Furyk, Jim"
"Lowry, Shane"
"Piercy, Scott"
"Stricker, Steve"
"Grace, Branden"
"Koepka, Brooks"
"Summerhays, Daniel"
"Garcia, Sergio"
"Hahn, James"
"Hoffman, Charley"
"Hughes, Mackenzie"
"Kim, Si Woo"
"Knox, Russell"
"McGirt, William"
"Moore, Ryan"
"Pampling, Rod"
"Perez, Pat"
"Reed, Patrick"
"Steele, Brendan"
"Stuard, Brian"
"Swafford, Hudson"
"Thomas, Justin"
"Vegas, Jhonattan"
"Castro, Roberto"
"Chappell, Kevin"
"Grillo, Emiliano"
"Kisner, Kevin"
"Kuchar, Matt"
"O'Hair, Sean"
"Na, Kevin"
"Woodland, Gary"
"Cabrera Bello, Rafa"
"Haas, Bill"
"Hatton, Tyrrell"
"An, Byeong Hun"
"Ikeda, Yuta"
"Molinari, Francesco"
"Noren, Alex"
"Oosthuizen, Louis"
"Pieters, Thomas"
"Sullivan, Andy"
"Wiesberger, Bernd"
"Wood, Chris"
"Rahm, Jon"
