name,year,hole,yardage,round,par,score,rtp_score,sg_total,no_masters,Level,Mu,Mu.no.bulps,P
"An, Byeong Hun",2016,1,445,1,4,6,2,0.212,2,3,0.00546,0.00524,0.00546
"An, Byeong Hun",2016,1,445,1,4,6,2,0.212,2,2,0.0421,0.04046,0.0421
"An, Byeong Hun",2016,1,445,1,4,6,2,0.212,2,1,0.33467,0.3255,0.33467
"An, Byeong Hun",2016,1,445,1,4,6,2,0.212,2,0,0.91724,0.91403,0.91724
"An, Byeong Hun",2016,1,445,1,4,6,2,0.212,2,-1,0.99786,0.99777,0.99786
"An, Byeong Hun",2016,2,575,1,5,5,0,0.212,2,3,0.0006,0.00058,0.0006
"An, Byeong Hun",2016,2,575,1,5,5,0,0.212,2,2,0.00479,0.0046,0.00479
"An, Byeong Hun",2016,2,575,1,5,5,0,0.212,2,1,0.05223,0.05021,0.05223
"An, Byeong Hun",2016,2,575,1,5,5,0,0.212,2,0,0.54834,0.53805,0.54834
"An, Byeong Hun",2016,2,575,1,5,5,0,0.212,2,-1,0.98079,0.98,0.98079
"An, Byeong Hun",2016,3,350,1,4,5,1,0.212,2,3,0.00163,0.00156,0.00163
"An, Byeong Hun",2016,3,350,1,4,5,1,0.212,2,2,0.01287,0.01235,0.01287
"An, Byeong Hun",2016,3,350,1,4,5,1,0.212,2,1,0.12986,0.12524,0.12986
"An, Byeong Hun",2016,3,350,1,4,5,1,0.212,2,0,0.76679,0.75929,0.76679
"An, Byeong Hun",2016,3,350,1,4,5,1,0.212,2,-1,0.99282,0.99252,0.99282
"An, Byeong Hun",2016,4,240,1,3,3,0,0.212,2,3,0.00513,0.00492,0.00513
"An, Byeong Hun",2016,4,240,1,3,3,0,0.212,2,2,0.03962,0.03807,0.03962
"An, Byeong Hun",2016,4,240,1,3,3,0,0.212,2,1,0.32072,0.31175,0.32072
"An, Byeong Hun",2016,4,240,1,3,3,0,0.212,2,0,0.9123,0.90892,0.9123
"An, Byeong Hun",2016,4,240,1,3,3,0,0.212,2,-1,0.99772,0.99762,0.99772
"An, Byeong Hun",2016,5,455,1,4,4,0,0.212,2,3,0.00339,0.00325,0.00339
"An, Byeong Hun",2016,5,455,1,4,4,0,0.212,2,2,0.02651,0.02546,0.02651
"An, Byeong Hun",2016,5,455,1,4,4,0,0.212,2,1,0.23763,0.23019,0.23763
"An, Byeong Hun",2016,5,455,1,4,4,0,0.212,2,0,0.87289,0.86822,0.87289
"An, Byeong Hun",2016,5,455,1,4,4,0,0.212,2,-1,0.99655,0.9964,0.99655
"An, Byeong Hun",2016,6,180,1,3,3,0,0.212,2,3,0.00322,0.00309,0.00322
"An, Byeong Hun",2016,6,180,1,3,3,0,0.212,2,2,0.02523,0.02423,0.02523
"An, Byeong Hun",2016,6,180,1,3,3,0,0.212,2,1,0.22853,0.2213,0.22853
"An, Byeong Hun",2016,6,180,1,3,3,0,0.212,2,0,0.86714,0.86229,0.86714
"An, Byeong Hun",2016,6,180,1,3,3,0,0.212,2,-1,0.99637,0.99622,0.99637
"An, Byeong Hun",2016,7,450,1,4,5,1,0.212,2,3,0.00459,0.0044,0.00459
"An, Byeong Hun",2016,7,450,1,4,5,1,0.212,2,2,0.0356,0.0342,0.0356
"An, Byeong Hun",2016,7,450,1,4,5,1,0.212,2,1,0.29699,0.2884,0.29699
"An, Byeong Hun",2016,7,450,1,4,5,1,0.212,2,0,0.90299,0.89929,0.90299
