name,year,hole,yardage,round,par,score,rtp_score,sg_total,no_masters,rtp_score_grouped,time,no_masters_category,Level,Mu,Mu (no blups),P
"An, Byeong Hun",2016,1,445,1,4,6,2,0.212,2,.,12,1,3,0.00414,0.00404,0.00414
"An, Byeong Hun",2016,1,445,1,4,6,2,0.212,2,.,12,1,2,0.03254,0.03181,0.03254
"An, Byeong Hun",2016,1,445,1,4,6,2,0.212,2,.,12,1,1,0.28394,0.27916,0.28394
"An, Byeong Hun",2016,1,445,1,4,6,2,0.212,2,.,12,1,0,0.90454,0.90248,0.90454
"An, Byeong Hun",2016,1,445,1,4,6,2,0.212,2,.,12,1,-1,0.9976,0.99754,0.9976
"An, Byeong Hun",2016,2,575,1,5,5,0,0.212,2,.,12,1,3,0.00079,0.00077,0.00079
"An, Byeong Hun",2016,2,575,1,5,5,0,0.212,2,.,12,1,2,0.00634,0.0062,0.00634
"An, Byeong Hun",2016,2,575,1,5,5,0,0.212,2,.,12,1,1,0.06999,0.06846,0.06999
"An, Byeong Hun",2016,2,575,1,5,5,0,0.212,2,.,12,1,0,0.64263,0.63719,0.64263
"An, Byeong Hun",2016,2,575,1,5,5,0,0.212,2,.,12,1,-1,0.98748,0.98718,0.98748
"An, Byeong Hun",2016,3,350,1,4,5,1,0.212,2,.,12,1,3,0.00139,0.00135,0.00139
"An, Byeong Hun",2016,3,350,1,4,5,1,0.212,2,.,12,1,2,0.01113,0.01087,0.01113
"An, Byeong Hun",2016,3,350,1,4,5,1,0.212,2,.,12,1,1,0.1171,0.11468,0.1171
"An, Byeong Hun",2016,3,350,1,4,5,1,0.212,2,.,12,1,0,0.76016,0.75582,0.76016
"An, Byeong Hun",2016,3,350,1,4,5,1,0.212,2,.,12,1,-1,0.99286,0.99269,0.99286
"An, Byeong Hun",2016,4,240,1,3,3,0,0.212,2,.,12,1,3,0.0043,0.0042,0.0043
"An, Byeong Hun",2016,4,240,1,3,3,0,0.212,2,.,12,1,2,0.03379,0.03303,0.03379
"An, Byeong Hun",2016,4,240,1,3,3,0,0.212,2,.,12,1,1,0.2919,0.28704,0.2919
"An, Byeong Hun",2016,4,240,1,3,3,0,0.212,2,.,12,1,0,0.90784,0.90584,0.90784
"An, Byeong Hun",2016,4,240,1,3,3,0,0.212,2,.,12,1,-1,0.99769,0.99764,0.99769
