hole,Par,round,3,2,1,0,-1,-2,expected RTP score,expected score
1,4,1,0.005974277,0.039316647,0.305537447,0.570765316,0.0763979,0.002008413,0.321678847,4.321678847
1,4,2,0.005061238,0.033541296,0.275249856,0.594811579,0.088963991,0.00237204,0.263808091,4.263808091
1,4,3,0.006111213,0.040175859,0.309751444,0.567186916,0.07481134,0.001963228,0.329699006,4.329699006
1,4,4,0.005356359,0.03541694,0.285475638,0.587034391,0.084475695,0.002240977,0.283420947,4.283420947
2,5,1,0.001457317,0.009931154,0.104618387,0.624537542,0.251236162,0.008219438,-0.138822394,4.861177606
2,5,2,0.001146104,0.007829401,0.084549043,0.598214049,0.297830121,0.010431282,-0.215046528,4.784953472
2,5,3,0.001029451,0.007038941,0.076735262,0.583561465,0.320033937,0.011600945,-0.24933433,4.75066567
2,5,4,0.001065761,0.007285139,0.07918498,0.588475168,0.312779222,0.011209731,-0.238246143,4.761753857
3,4,1,0.002254657,0.015269421,0.151353927,0.64659913,0.179198906,0.005323958,-0.001190083,3.998809917
3,4,2,0.002461131,0.016640971,0.162464423,0.646762395,0.166792595,0.004878486,0.026580192,4.026580192
3,4,3,0.002038094,0.013826089,0.139281453,0.644615159,0.194351594,0.005887611,-0.033078903,3.966921097
3,4,4,0.002951164,0.019878505,0.187373699,0.642492052,0.143234847,0.004069732,0.08460989,4.08460989
4,3,1,0.004963343,0.032917237,0.271760033,0.597381066,0.090559371,0.00241895,0.257087266,3.257087266
4,3,2,0.004659068,0.030971519,0.260588035,0.60530149,0.095902583,0.002577306,0.23545108,3.23545108
4,3,3,0.004951012,0.032838559,0.271316888,0.597704172,0.090764379,0.00242499,0.256232684,3.256232684
4,3,4,0.006088781,0.040035231,0.309066639,0.567772113,0.075066745,0.001970491,0.328395716,3.328395716
5,4,1,0.00550105,0.036333416,0.290332597,0.583215366,0.082435725,0.002181845,0.292703165,4.292703165
5,4,2,0.004178274,0.027878342,0.241874145,0.617440982,0.105753848,0.002874408,0.198662988,4.198662988
5,4,3,0.004769181,0.031676707,0.264688885,0.602449496,0.09389806,0.002517671,0.24341644,4.24341644
5,4,4,0.006181461,0.040615931,0.311882131,0.565357075,0.074022579,0.001940824,0.33375415,4.33375415
6,3,1,0.00397044,0.026534108,0.233355774,0.622450551,0.110664082,0.003025044,0.18162114,3.18162114
6,3,2,0.003552765,0.02381953,0.215394496,0.6318082,0.12204412,0.003380889,0.144885954,3.144885954
6,3,3,0.003322201,0.022313483,0.204968997,0.63639649,0.129383318,0.003615511,0.122948225,3.122948225
6,3,4,0.004103104,0.027392654,0.238824171,0.619274002,0.107478934,0.002927134,0.192585588,3.192585588
7,4,1,0.004340568,0.028925031,0.248342269,0.613414367,0.102210983,0.002766781,0.211469489,4.211469489
7,4,2,0.004172037,0.027838068,0.241622418,0.617593892,0.105894873,0.00287871,0.198162372,4.198162372
7,4,3,0.004244828,0.028307892,0.244545767,0.615800402,0.104271832,0.002829279,0.203965646,4.203965646
7,4,4,0.00279674,0.018860929,0.179737057,0.644401039,0.149910092,0.004294143,0.06735076,4.06735076
8,5,1,0.001525205,0.010388272,0.108852129,0.628443759,0.242934708,0.007855927,-0.124442275,4.875557725
8,5,2,0.001312064,0.008951475,0.095388772,0.614185855,0.271039443,0.009122392,-0.172056313,4.827943687
8,5,3,0.001188469,0.008116114,0.087346627,0.602781933,0.290504096,0.010062761,-0.203485353,4.796514647
8,5,4,0.001211359,0.008270948,0.088849415,0.605101388,0.286692624,0.009874266,-0.197415765,4.802584235
9,4,1,0.004103145,0.027392918,0.238825839,0.619273012,0.107477981,0.002927105,0.192588917,4.192588917
9,4,2,0.003630818,0.024328151,0.218839638,0.630149321,0.119743881,0.003308191,0.152028129,4.152028129
9,4,3,0.003128744,0.021045648,0.19592453,0.639807144,0.136254984,0.00383895,0.103469173,4.103469173
9,4,4,0.003943678,0.026360701,0.232239183,0.623081328,0.111329519,0.003045591,0.179370918,4.179370918
10,4,1,0.00641169,0.042054904,0.318721266,0.559391866,0.071549442,0.001870831,0.346775042,4.346775042
10,4,2,0.005320729,0.035190944,0.284264058,0.58797471,0.084993529,0.00225603,0.281102544,4.281102544
10,4,3,0.004304416,0.028692103,0.246915109,0.614318741,0.102979575,0.002790055,0.20865288,4.20865288
10,4,4,0.005195776,0.034397407,0.279965642,0.591270232,0.086860493,0.00231045,0.272866392,4.272866392
11,4,1,0.007742946,0.05027685,0.354320276,0.526163063,0.059949263,0.001547602,0.415058347,4.415058347
11,4,2,0.006624854,0.043382698,0.324862525,0.553917978,0.069401589,0.001810356,0.358480183,4.358480183
11,4,3,0.006526089,0.042768028,0.32203946,0.556447923,0.070380615,0.001837885,0.353097397,4.353097397
11,4,4,0.005962412,0.039242112,0.305168488,0.571076037,0.076538526,0.002012426,0.320976569,4.320976569
12,3,1,0.004395801,0.029280647,0.250507803,0.612025271,0.101058517,0.002731961,0.215734062,3.215734062
12,3,2,0.003660932,0.02452422,0.220157708,0.629496853,0.118879318,0.003280969,0.154747686,3.154747686
12,3,3,0.002554095,0.017257062,0.167344344,0.646394677,0.161748505,0.004701318,0.038369611,3.038369611
12,3,4,0.00438051,0.029182225,0.249910071,0.612410701,0.101374979,0.002741513,0.214558047,3.214558047
13,5,1,0.001231857,0.008409551,0.090189931,0.607094484,0.283362816,0.009711361,-0.192080936,4.807919064
13,5,2,0.001233371,0.008419788,0.090288768,0.607238664,0.283119869,0.009699539,-0.191690491,4.808309509
13,5,3,0.001272371,0.008683373,0.092825207,0.610812275,0.277002107,0.009404667,-0.181802376,4.818197624
13,5,4,0.001038022,0.007097069,0.077314966,0.584752205,0.318291579,0.011506158,-0.246680726,4.753319274
14,4,1,0.004884363,0.03241307,0.268907931,0.599447913,0.09188856,0.002458162,0.251582276,4.251582276
14,4,2,0.004780729,0.031750591,0.2651151,0.602149342,0.093692662,0.002511576,0.244242655,4.244242655
14,4,3,0.004403247,0.029328566,0.250798384,0.611837349,0.10090512,0.002727333,0.216305473,4.216305473
14,4,4,0.002858488,0.019268106,0.18281346,0.643690445,0.147167987,0.004201514,0.07435412,4.07435412
15,5,1,0.000914608,0.006259335,0.06888076,0.565564755,0.345340438,0.013040102,-0.287277388,4.712722612
15,5,2,0.001139336,0.007783576,0.084100115,0.597449643,0.299034657,0.010492673,-0.216934729,4.783065271
15,5,3,0.001064686,0.007277854,0.079112701,0.588334556,0.312989271,0.011220931,-0.238568666,4.761431334
15,5,4,0.000578149,0.003967177,0.044898972,0.481366613,0.44870881,0.020480278,-0.435101591,4.564898409
16,3,1,0.003748664,0.025094919,0.223962882,0.627559467,0.116429921,0.003204147,0.162560497,3.162560497
16,3,2,0.003432493,0.023034585,0.210003114,0.634264456,0.125765992,0.003499359,0.133605054,3.133605054
16,3,3,0.003808516,0.025483805,0.226529368,0.626208758,0.11481579,0.003153764,0.167799207,3.167799207
16,3,4,0.002910545,0.019611084,0.185383385,0.64303591,0.144932614,0.004126462,0.080151653,3.080151653
17,4,1,0.004447747,0.029614821,0.252528182,0.610711265,0.099997986,0.0027,0.219703079,4.219703079
17,4,2,0.003600161,0.024128455,0.217491485,0.63080656,0.120636968,0.00333637,0.149239172,4.149239172
17,4,3,0.004216183,0.028123064,0.243399166,0.61650845,0.104904609,0.002848529,0.201692176,4.201692176
17,4,4,0.004739372,0.03148592,0.263585292,0.603223432,0.09443244,0.002533543,0.241275724,4.241275724
18,4,1,0.006313071,0.041439136,0.315818391,0.561940777,0.072588436,0.001900189,0.341247062,4.341247062
18,4,2,0.003836427,0.025665037,0.227718183,0.625571372,0.114078178,0.003130803,0.170217755,4.170217755
18,4,3,0.006096047,0.040080789,0.309288699,0.567582509,0.074983824,0.001968133,0.328818329,4.328818329
18,4,4,0.003577882,0.023983269,0.216507689,0.631279633,0.121294377,0.00335715,0.147199195,4.147199195
