"name","rank","freq","prob"
"Day, Jason",1,1255,0.1255
"Mickelson, Phil",1,1180,0.118
"Scott, Adam",1,858,0.0858
"Spieth, Jordan",1,855,0.0855
"Johnson, Dustin",1,830,0.083
"McIlroy, Rory",1,653,0.0653
"Fowler, Rickie",1,498,0.0498
"Rose, Justin",1,495,0.0495
"Matsuyama, Hideki",1,447,0.0447
"Casey, Paul",1,444,0.0444
"Kuchar, Matt",1,367,0.0367
"Watson, Bubba",1,300,0.03
"Schwartzel, Charl",1,242,0.0242
"Stenson, Henrik",1,242,0.0242
"Moore, Ryan",1,214,0.0214
"Snedeker, Brandt",1,178,0.0178
"Walker, Jimmy",1,166,0.0166
"Reed, Patrick",1,165,0.0165
"Grace, Branden",1,160,0.016
"Oosthuizen, Louis",1,156,0.0156
"Kirk, Chris",1,137,0.0137
"Hoffman, Charley",1,127,0.0127
"Cabrera Bello, Rafa",1,117,0.0117
"Horschel, Billy",1,110,0.011
"Leishman, Marc",1,105,0.0105
"Na, Kevin",1,103,0.0103
"Haas, Bill",1,103,0.0103
"Simpson, Webb",1,100,0.01
"Garcia, Sergio",1,98,0.0098
"Koepka, Brooks",1,95,0.0095
"Donaldson, Jamie",1,84,0.0084
"Dufner, Jason",1,79,0.0079
"Johnson, Zach",1,75,0.0075
"Holmes, J.B.",1,74,0.0074
"Willett, Danny",1,59,0.0059
"Kjeldsen, Soren",1,58,0.0058
"Kaymer, Martin",1,56,0.0056
"Berger, Daniel",1,56,0.0056
"Bradley, Keegan",1,52,0.0052
"Lowry, Shane",1,50,0.005
"Kisner, Kevin",1,47,0.0047
"Singh, Vijay",1,39,0.0039
"Taylor, Vaughn",1,37,0.0037
"Grillo, Emiliano",1,36,0.0036
"Wiesberger, Bernd",1,36,0.0036
"Poulter, Ian",1,34,0.0034
"Knox, Russell",1,33,0.0033
"Els, Ernie",1,30,0.003
"Lee, Danny",1,25,0.0025
"DeChambeau, Bryson",1,24,0.0024
"Streelman, Kevin",1,23,0.0023
"Lahiri, Anirban",1,23,0.0023
"McDowell, Graeme",1,23,0.0023
"Sullivan, Andy",1,22,0.0022
"Fitzpatrick, Matthew",1,20,0.002
"Thomas, Justin",1,20,0.002
"Kaufman, Smylie",1,20,0.002
"Lingmerth, David",1,20,0.002
"Wood, Chris",1,20,0.002
"Cabrera, Angel",1,19,0.0019
"English, Harris",1,18,0.0018
"An, Byeong Hun",1,17,0.0017
"Mahan, Hunter",1,15,0.0015
"Jaidee, Thongchai",1,14,0.0014
"Piercy, Scott",1,13,0.0013
"Gomez, Fabian",1,11,0.0011
"Westwood, Lee",1,9,9e-04
"Herman, Jim",1,8,8e-04
"Langer, Bernhard",1,7,7e-04
"Merritt, Troy",1,7,7e-04
"Love III, Davis",1,7,7e-04
"Aphibarnrat, Kiradech",1,5,5e-04
"Streb, Robert",1,5,5e-04
"Dubuisson, Victor",1,3,3e-04
"Immelman, Trevor",1,2,2e-04
"Smith, Cameron",1,1,1e-04
"Clarke, Darren",1,1,1e-04
"Day, Jason",2,900,0.09
"Mickelson, Phil",2,788,0.0788
"Scott, Adam",2,703,0.0703
"Spieth, Jordan",2,670,0.067
"Johnson, Dustin",2,650,0.065
"McIlroy, Rory",2,558,0.0558
"Fowler, Rickie",2,441,0.0441
"Rose, Justin",2,426,0.0426
"Matsuyama, Hideki",2,425,0.0425
"Casey, Paul",2,417,0.0417
"Kuchar, Matt",2,340,0.034
"Watson, Bubba",2,330,0.033
"Schwartzel, Charl",2,255,0.0255
"Stenson, Henrik",2,221,0.0221
"Moore, Ryan",2,217,0.0217
"Snedeker, Brandt",2,194,0.0194
"Walker, Jimmy",2,180,0.018
"Grace, Branden",2,175,0.0175
"Hoffman, Charley",2,172,0.0172
"Cabrera Bello, Rafa",2,171,0.0171
"Kirk, Chris",2,162,0.0162
"Oosthuizen, Louis",2,159,0.0159
"Garcia, Sergio",2,157,0.0157
"Leishman, Marc",2,154,0.0154
"Reed, Patrick",2,152,0.0152
"Horschel, Billy",2,136,0.0136
"Simpson, Webb",2,134,0.0134
"Haas, Bill",2,125,0.0125
"Dufner, Jason",2,124,0.0124
"Johnson, Zach",2,121,0.0121
"Koepka, Brooks",2,117,0.0117
"Na, Kevin",2,111,0.0111
"Willett, Danny",2,105,0.0105
"Holmes, J.B.",2,102,0.0102
"Donaldson, Jamie",2,100,0.01
"Kjeldsen, Soren",2,84,0.0084
"Bradley, Keegan",2,81,0.0081
"Kaymer, Martin",2,78,0.0078
"Berger, Daniel",2,73,0.0073
"Taylor, Vaughn",2,64,0.0064
"English, Harris",2,54,0.0054
"Knox, Russell",2,53,0.0053
"Kisner, Kevin",2,53,0.0053
"Singh, Vijay",2,47,0.0047
"Els, Ernie",2,46,0.0046
"Lowry, Shane",2,46,0.0046
"Poulter, Ian",2,43,0.0043
"Grillo, Emiliano",2,41,0.0041
"Lingmerth, David",2,41,0.0041
"Streelman, Kevin",2,41,0.0041
"McDowell, Graeme",2,40,0.004
"Fitzpatrick, Matthew",2,38,0.0038
"Jaidee, Thongchai",2,37,0.0037
"Kaufman, Smylie",2,36,0.0036
"Cabrera, Angel",2,35,0.0035
"Thomas, Justin",2,34,0.0034
"DeChambeau, Bryson",2,31,0.0031
"Lee, Danny",2,31,0.0031
"Lahiri, Anirban",2,30,0.003
"An, Byeong Hun",2,29,0.0029
"Wiesberger, Bernd",2,28,0.0028
"Sullivan, Andy",2,25,0.0025
"Gomez, Fabian",2,23,0.0023
"Wood, Chris",2,23,0.0023
"Piercy, Scott",2,22,0.0022
"Mahan, Hunter",2,18,0.0018
"Streb, Robert",2,15,0.0015
"Westwood, Lee",2,9,9e-04
"Aphibarnrat, Kiradech",2,9,9e-04
"Smith, Cameron",2,9,9e-04
"Merritt, Troy",2,9,9e-04
"Herman, Jim",2,8,8e-04
"Love III, Davis",2,8,8e-04
"Langer, Bernhard",2,5,5e-04
"Dubuisson, Victor",2,4,4e-04
"Day, Jason",3,727,0.0727
"Mickelson, Phil",3,632,0.0632
"Spieth, Jordan",3,575,0.0575
"Johnson, Dustin",3,565,0.0565
"Scott, Adam",3,543,0.0543
"McIlroy, Rory",3,488,0.0488
"Rose, Justin",3,418,0.0418
"Fowler, Rickie",3,416,0.0416
"Casey, Paul",3,360,0.036
"Matsuyama, Hideki",3,360,0.036
"Kuchar, Matt",3,348,0.0348
"Watson, Bubba",3,297,0.0297
"Stenson, Henrik",3,246,0.0246
"Snedeker, Brandt",3,237,0.0237
"Schwartzel, Charl",3,229,0.0229
"Moore, Ryan",3,222,0.0222
"Walker, Jimmy",3,217,0.0217
"Grace, Branden",3,199,0.0199
"Oosthuizen, Louis",3,197,0.0197
"Hoffman, Charley",3,187,0.0187
"Kirk, Chris",3,187,0.0187
"Cabrera Bello, Rafa",3,182,0.0182
"Reed, Patrick",3,177,0.0177
"Garcia, Sergio",3,164,0.0164
"Horschel, Billy",3,163,0.0163
"Haas, Bill",3,162,0.0162
"Simpson, Webb",3,148,0.0148
"Leishman, Marc",3,147,0.0147
"Koepka, Brooks",3,140,0.014
"Donaldson, Jamie",3,132,0.0132
"Dufner, Jason",3,122,0.0122
"Na, Kevin",3,122,0.0122
"Willett, Danny",3,121,0.0121
"Johnson, Zach",3,113,0.0113
"Holmes, J.B.",3,106,0.0106
"Berger, Daniel",3,102,0.0102
"Kaymer, Martin",3,90,0.009
"Kjeldsen, Soren",3,83,0.0083
"Kisner, Kevin",3,74,0.0074
"Taylor, Vaughn",3,71,0.0071
"Singh, Vijay",3,69,0.0069
"Els, Ernie",3,66,0.0066
"Lowry, Shane",3,61,0.0061
"Poulter, Ian",3,58,0.0058
"Grillo, Emiliano",3,57,0.0057
"Knox, Russell",3,54,0.0054
"English, Harris",3,53,0.0053
"Thomas, Justin",3,53,0.0053
"Kaufman, Smylie",3,53,0.0053
"Bradley, Keegan",3,53,0.0053
"McDowell, Graeme",3,45,0.0045
"Streelman, Kevin",3,45,0.0045
"Lahiri, Anirban",3,41,0.0041
"Jaidee, Thongchai",3,40,0.004
"Fitzpatrick, Matthew",3,40,0.004
"Sullivan, Andy",3,38,0.0038
"Lingmerth, David",3,38,0.0038
"Cabrera, Angel",3,37,0.0037
"Lee, Danny",3,36,0.0036
"Piercy, Scott",3,34,0.0034
"Wiesberger, Bernd",3,34,0.0034
"DeChambeau, Bryson",3,34,0.0034
"Wood, Chris",3,29,0.0029
"Herman, Jim",3,27,0.0027
"An, Byeong Hun",3,26,0.0026
"Streb, Robert",3,24,0.0024
"Mahan, Hunter",3,22,0.0022
"Gomez, Fabian",3,20,0.002
"Love III, Davis",3,19,0.0019
"Langer, Bernhard",3,17,0.0017
"Aphibarnrat, Kiradech",3,16,0.0016
"Merritt, Troy",3,12,0.0012
"Westwood, Lee",3,11,0.0011
"Smith, Cameron",3,7,7e-04
"Dubuisson, Victor",3,6,6e-04
"Immelman, Trevor",3,3,3e-04
"Clarke, Darren",3,1,1e-04
"Day, Jason",4,608,0.0608
"Mickelson, Phil",4,565,0.0565
"Johnson, Dustin",4,528,0.0528
"Scott, Adam",4,508,0.0508
"Spieth, Jordan",4,503,0.0503
"McIlroy, Rory",4,452,0.0452
"Rose, Justin",4,399,0.0399
"Casey, Paul",4,387,0.0387
"Fowler, Rickie",4,370,0.037
"Matsuyama, Hideki",4,366,0.0366
"Kuchar, Matt",4,340,0.034
"Watson, Bubba",4,299,0.0299
"Stenson, Henrik",4,262,0.0262
"Snedeker, Brandt",4,247,0.0247
"Schwartzel, Charl",4,243,0.0243
"Moore, Ryan",4,225,0.0225
"Grace, Branden",4,224,0.0224
"Walker, Jimmy",4,218,0.0218
"Reed, Patrick",4,208,0.0208
"Kirk, Chris",4,205,0.0205
"Hoffman, Charley",4,198,0.0198
"Oosthuizen, Louis",4,186,0.0186
"Cabrera Bello, Rafa",4,184,0.0184
"Horschel, Billy",4,158,0.0158
"Haas, Bill",4,156,0.0156
"Garcia, Sergio",4,148,0.0148
"Simpson, Webb",4,148,0.0148
"Donaldson, Jamie",4,146,0.0146
"Na, Kevin",4,139,0.0139
"Koepka, Brooks",4,138,0.0138
"Leishman, Marc",4,135,0.0135
"Johnson, Zach",4,135,0.0135
"Dufner, Jason",4,135,0.0135
"Holmes, J.B.",4,126,0.0126
"Willett, Danny",4,113,0.0113
"Berger, Daniel",4,109,0.0109
"Bradley, Keegan",4,94,0.0094
"Kaymer, Martin",4,94,0.0094
"Taylor, Vaughn",4,88,0.0088
"Singh, Vijay",4,84,0.0084
"Kjeldsen, Soren",4,81,0.0081
"English, Harris",4,78,0.0078
"Knox, Russell",4,74,0.0074
"Kisner, Kevin",4,71,0.0071
"Els, Ernie",4,69,0.0069
"Lowry, Shane",4,68,0.0068
"Grillo, Emiliano",4,66,0.0066
"McDowell, Graeme",4,65,0.0065
"Streelman, Kevin",4,61,0.0061
"Thomas, Justin",4,60,0.006
"Cabrera, Angel",4,59,0.0059
"Wiesberger, Bernd",4,56,0.0056
"Poulter, Ian",4,54,0.0054
"DeChambeau, Bryson",4,54,0.0054
"Fitzpatrick, Matthew",4,53,0.0053
"Lingmerth, David",4,52,0.0052
"Piercy, Scott",4,46,0.0046
"Kaufman, Smylie",4,44,0.0044
"Sullivan, Andy",4,42,0.0042
"Wood, Chris",4,36,0.0036
"Lee, Danny",4,36,0.0036
"Jaidee, Thongchai",4,35,0.0035
"Gomez, Fabian",4,34,0.0034
"Lahiri, Anirban",4,34,0.0034
"An, Byeong Hun",4,31,0.0031
"Mahan, Hunter",4,30,0.003
"Herman, Jim",4,25,0.0025
"Merritt, Troy",4,22,0.0022
"Streb, Robert",4,20,0.002
"Westwood, Lee",4,20,0.002
"Langer, Bernhard",4,17,0.0017
"Dubuisson, Victor",4,14,0.0014
"Smith, Cameron",4,14,0.0014
"Love III, Davis",4,12,0.0012
"Aphibarnrat, Kiradech",4,10,0.001
"Clarke, Darren",4,3,3e-04
"Immelman, Trevor",4,3,3e-04
"Mickelson, Phil",5,519,0.0519
"Day, Jason",5,507,0.0507
"Spieth, Jordan",5,467,0.0467
"Scott, Adam",5,465,0.0465
"McIlroy, Rory",5,462,0.0462
"Johnson, Dustin",5,434,0.0434
"Fowler, Rickie",5,401,0.0401
"Rose, Justin",5,362,0.0362
"Casey, Paul",5,361,0.0361
"Kuchar, Matt",5,360,0.036
"Matsuyama, Hideki",5,349,0.0349
"Schwartzel, Charl",5,292,0.0292
"Stenson, Henrik",5,286,0.0286
"Watson, Bubba",5,283,0.0283
"Snedeker, Brandt",5,250,0.025
"Moore, Ryan",5,232,0.0232
"Reed, Patrick",5,231,0.0231
"Walker, Jimmy",5,227,0.0227
"Oosthuizen, Louis",5,208,0.0208
"Grace, Branden",5,205,0.0205
"Kirk, Chris",5,194,0.0194
"Cabrera Bello, Rafa",5,188,0.0188
"Horschel, Billy",5,188,0.0188
"Leishman, Marc",5,178,0.0178
"Hoffman, Charley",5,173,0.0173
"Garcia, Sergio",5,169,0.0169
"Haas, Bill",5,167,0.0167
"Na, Kevin",5,166,0.0166
"Willett, Danny",5,149,0.0149
"Koepka, Brooks",5,145,0.0145
"Donaldson, Jamie",5,145,0.0145
"Simpson, Webb",5,143,0.0143
"Dufner, Jason",5,143,0.0143
"Kaymer, Martin",5,134,0.0134
"Berger, Daniel",5,123,0.0123
"Holmes, J.B.",5,121,0.0121
"Johnson, Zach",5,119,0.0119
"Bradley, Keegan",5,96,0.0096
"Els, Ernie",5,92,0.0092
"Singh, Vijay",5,92,0.0092
"English, Harris",5,90,0.009
"Kjeldsen, Soren",5,89,0.0089
"Lowry, Shane",5,87,0.0087
"Streelman, Kevin",5,85,0.0085
"Kisner, Kevin",5,85,0.0085
"Poulter, Ian",5,77,0.0077
"Knox, Russell",5,76,0.0076
"Taylor, Vaughn",5,75,0.0075
"Kaufman, Smylie",5,73,0.0073
"Thomas, Justin",5,69,0.0069
"Grillo, Emiliano",5,69,0.0069
"Wiesberger, Bernd",5,64,0.0064
"McDowell, Graeme",5,62,0.0062
"Piercy, Scott",5,62,0.0062
"Cabrera, Angel",5,61,0.0061
"DeChambeau, Bryson",5,61,0.0061
"Lingmerth, David",5,60,0.006
"Sullivan, Andy",5,54,0.0054
"Fitzpatrick, Matthew",5,54,0.0054
"Lee, Danny",5,54,0.0054
"Mahan, Hunter",5,53,0.0053
"Jaidee, Thongchai",5,52,0.0052
"Wood, Chris",5,40,0.004
"Lahiri, Anirban",5,39,0.0039
"An, Byeong Hun",5,38,0.0038
"Herman, Jim",5,36,0.0036
"Gomez, Fabian",5,35,0.0035
"Streb, Robert",5,31,0.0031
"Langer, Bernhard",5,23,0.0023
"Merritt, Troy",5,22,0.0022
"Westwood, Lee",5,21,0.0021
"Aphibarnrat, Kiradech",5,20,0.002
"Love III, Davis",5,11,0.0011
"Dubuisson, Victor",5,9,9e-04
"Smith, Cameron",5,8,8e-04
"Immelman, Trevor",5,3,3e-04
"Clarke, Darren",5,3,3e-04
