"name","rank","firstplace","prob","odds"
"Day, Jason",1,2269,0.2269,0.293493726555426
"Spieth, Jordan",1,1742,0.1742,0.210946960523129
"McIlroy, Rory",1,1023,0.1023,0.113957892391668
"Johnson, Dustin",1,777,0.0777,0.0842459069717012
"Fowler, Rickie",1,629,0.0629,0.0671219720414043
"Stenson, Henrik",1,541,0.0541,0.057194206575748
"Watson, Bubba",1,485,0.0485,0.0509721492380452
"Scott, Adam",1,409,0.0409,0.0426441455531227
"Mickelson, Phil",1,362,0.0362,0.0375596596804316
"Reed, Patrick",1,272,0.0272,0.0279605263157895
"Matsuyama, Hideki",1,252,0.0252,0.0258514567090685
"Rose, Justin",1,251,0.0251,0.0257462303826033
"Snedeker, Brandt",1,189,0.0189,0.0192640913260626
"Garcia, Sergio",1,164,0.0164,0.0166734444896299
"Koepka, Brooks",1,137,0.0137,0.013890297069857
"Casey, Paul",1,127,0.0127,0.0128633647320976
"Johnson, Zach",1,120,0.012,0.0121457489878543
"Schwartzel, Charl",1,117,0.0117,0.0118385105737124
"Kuchar, Matt",1,117,0.0117,0.0118385105737124
"Oosthuizen, Louis",1,114,0.0114,0.0115314586283633
"Kisner, Kevin",1,105,0.0105,0.010611419909045
"Walker, Jimmy",1,90,0.009,0.00908173562058527
"Grace, Branden",1,89,0.0089,0.00897992129956614
"Haas, Bill",1,84,0.0084,0.00847115772488907
"Willett, Danny",1,83,0.0083,0.00836946657255218
"Na, Kevin",1,81,0.0081,0.00816614578082468
"Holmes, J.B.",1,80,0.008,0.00806451612903226
"Dufner, Jason",1,71,0.0071,0.00715077047033941
"Moore, Ryan",1,70,0.007,0.00704934541792548
"Kirk, Chris",1,69,0.0069,0.00694794079146108
"Leishman, Marc",1,67,0.0067,0.00674519279170442
"Knox, Russell",1,61,0.0061,0.0061374383740819
"Cabrera Bello, Rafa",1,53,0.0053,0.00532823967025234
"Berger, Daniel",1,48,0.0048,0.00482315112540193
"Kaufman, Smylie",1,48,0.0048,0.00482315112540193
"Piercy, Scott",1,47,0.0047,0.00472219431327238
"English, Harris",1,46,0.0046,0.00462125778581475
"Lingmerth, David",1,44,0.0044,0.00441944556046605
"Bradley, Keegan",1,44,0.0044,0.00441944556046605
"Thomas, Justin",1,38,0.0038,0.00381449508130897
"Grillo, Emiliano",1,36,0.0036,0.00361300682456845
"Hoffman, Charley",1,33,0.0033,0.00331092605598475
"Merritt, Troy",1,31,0.0031,0.00310963988363928
"An, Byeong Hun",1,30,0.003,0.00300902708124373
"Simpson, Webb",1,30,0.003,0.00300902708124373
"Streelman, Kevin",1,28,0.0028,0.00280786201363819
"Lee, Danny",1,28,0.0028,0.00280786201363819
"Gomez, Fabian",1,27,0.0027,0.00270730973628798
"Horschel, Billy",1,27,0.0027,0.00270730973628798
"Kjeldsen, Soren",1,24,0.0024,0.00240577385725742
"Fitzpatrick, Matthew",1,24,0.0024,0.00240577385725742
"Streb, Robert",1,21,0.0021,0.00210441928048903
"Lahiri, Anirban",1,20,0.002,0.00200400801603206
"McDowell, Graeme",1,16,0.0016,0.0016025641025641
"Lowry, Shane",1,14,0.0014,0.00140196274784699
"Sullivan, Andy",1,13,0.0013,0.00130169219985982
"Jaidee, Thongchai",1,11,0.0011,0.00110121133246571
"Herman, Jim",1,11,0.0011,0.00110121133246571
"Taylor, Vaughn",1,10,0.001,0.001001001001001
"Donaldson, Jamie",1,10,0.001,0.001001001001001
"Westwood, Lee",1,9,9e-04,0.000900810729656691
"Wood, Chris",1,9,9e-04,0.000900810729656691
"Els, Ernie",1,8,8e-04,0.000800640512409928
"Kaymer, Martin",1,7,7e-04,0.000700490343240268
"Smith, Cameron",1,6,6e-04,0.000600360216129678
"Poulter, Ian",1,5,5e-04,0.000500250125062531
"Wiesberger, Bernd",1,5,5e-04,0.000500250125062531
"Aphibarnrat, Kiradech",1,4,4e-04,0.00040016006402561
"Cabrera, Angel",1,4,4e-04,0.00040016006402561
"Mahan, Hunter",1,4,4e-04,0.00040016006402561
"DeChambeau, Bryson",1,3,3e-04,0.000300090027008102
"Singh, Vijay",1,3,3e-04,0.000300090027008102
"Immelman, Trevor",1,1,1e-04,0.0001000100010001
"Day, Jason",2,1286,0.1286,0.147578609134726
"Spieth, Jordan",2,1149,0.1149,0.129815840018077
"McIlroy, Rory",2,938,0.0938,0.103509159126021
"Johnson, Dustin",2,683,0.0683,0.0733068584308254
"Stenson, Henrik",2,594,0.0594,0.0631511800978099
"Fowler, Rickie",2,539,0.0539,0.0569707219110031
"Watson, Bubba",2,466,0.0466,0.0488777008600797
"Scott, Adam",2,423,0.0423,0.0441683199331732
"Mickelson, Phil",2,373,0.0373,0.0387451958034694
"Reed, Patrick",2,354,0.0354,0.0366991499066971
"Matsuyama, Hideki",2,282,0.0282,0.0290183165260342
"Rose, Justin",2,277,0.0277,0.0284891494394734
"Garcia, Sergio",2,245,0.0245,0.0251153254741158
"Snedeker, Brandt",2,208,0.0208,0.0212418300653595
"Koepka, Brooks",2,190,0.019,0.0193679918450561
"Casey, Paul",2,174,0.0174,0.0177081213108081
"Kuchar, Matt",2,161,0.0161,0.0163634515702815
"Johnson, Zach",2,161,0.0161,0.0163634515702815
