"name","rank","firstplace","prob","odds"
"Day, Jason",1,1676,0.1676,0.201345506967804
"McIlroy, Rory",1,1085,0.1085,0.121704991587213
"Spieth, Jordan",1,1075,0.1075,0.120448179271709
"Johnson, Dustin",1,756,0.0756,0.0817827780181739
"Watson, Bubba",1,646,0.0646,0.0690613641223006
"Scott, Adam",1,614,0.0614,0.0654165778819518
"Fowler, Rickie",1,563,0.0563,0.059658789869662
"Stenson, Henrik",1,500,0.05,0.0526315789473684
"Rose, Justin",1,308,0.0308,0.0317787866281469
"Matsuyama, Hideki",1,251,0.0251,0.0257462303826033
"Reed, Patrick",1,222,0.0222,0.022704029453876
"Casey, Paul",1,210,0.021,0.0214504596527068
"Garcia, Sergio",1,180,0.018,0.0183299389002037
"Mickelson, Phil",1,179,0.0179,0.0182262498727217
"Kuchar, Matt",1,175,0.0175,0.0178117048346056
"Schwartzel, Charl",1,166,0.0166,0.016880211511084
"Oosthuizen, Louis",1,166,0.0166,0.016880211511084
"Grace, Branden",1,158,0.0158,0.016053647632595
"Snedeker, Brandt",1,150,0.015,0.0152284263959391
"Willett, Danny",1,148,0.0148,0.0150223304912708
"Koepka, Brooks",1,134,0.0134,0.0135819987837016
"Cabrera Bello, Rafa",1,132,0.0132,0.0133765707336846
"Walker, Jimmy",1,117,0.0117,0.0118385105737124
"Holmes, J.B.",1,115,0.0115,0.0116337885685382
"Horschel, Billy",1,103,0.0103,0.010407194099222
"Moore, Ryan",1,101,0.0101,0.0102030508132135
"Kaymer, Martin",1,98,0.0098,0.00989699050696829
"Johnson, Zach",1,89,0.0089,0.00897992129956614
"Haas, Bill",1,88,0.0088,0.00887812752219532
"Berger, Daniel",1,81,0.0081,0.00816614578082468
"Kirk, Chris",1,80,0.008,0.00806451612903226
"Hoffman, Charley",1,76,0.0076,0.00765820233776703
"Kisner, Kevin",1,74,0.0074,0.0074551682450131
"Na, Kevin",1,73,0.0073,0.00735368187770726
"Leishman, Marc",1,72,0.0072,0.0072522159548751
"Simpson, Webb",1,70,0.007,0.00704934541792548
"Dufner, Jason",1,70,0.007,0.00704934541792548
"Lowry, Shane",1,65,0.0065,0.00654252642174132
"Grillo, Emiliano",1,61,0.0061,0.0061374383740819
"An, Byeong Hun",1,55,0.0055,0.00553041729512318
"Knox, Russell",1,53,0.0053,0.00532823967025234
"Bradley, Keegan",1,50,0.005,0.0050251256281407
"Donaldson, Jamie",1,50,0.005,0.0050251256281407
"Piercy, Scott",1,50,0.005,0.0050251256281407
"Thomas, Justin",1,48,0.0048,0.00482315112540193
"McDowell, Graeme",1,47,0.0047,0.00472219431327238
"Kaufman, Smylie",1,46,0.0046,0.00462125778581475
"Kjeldsen, Soren",1,46,0.0046,0.00462125778581475
"Lee, Danny",1,45,0.0045,0.00452034153691612
"Sullivan, Andy",1,43,0.0043,0.00431856985035653
"Wood, Chris",1,38,0.0038,0.00381449508130897
"Taylor, Vaughn",1,38,0.0038,0.00381449508130897
"Lingmerth, David",1,36,0.0036,0.00361300682456845
"Streb, Robert",1,35,0.0035,0.00351229302558956
"English, Harris",1,34,0.0034,0.0034115994380895
"Streelman, Kevin",1,32,0.0032,0.00321027287319422
"Wiesberger, Bernd",1,31,0.0031,0.00310963988363928
"Els, Ernie",1,31,0.0031,0.00310963988363928
"Herman, Jim",1,29,0.0029,0.00290843445993381
"Singh, Vijay",1,29,0.0029,0.00290843445993381
"DeChambeau, Bryson",1,28,0.0028,0.00280786201363819
"Jaidee, Thongchai",1,28,0.0028,0.00280786201363819
"Gomez, Fabian",1,28,0.0028,0.00280786201363819
"Fitzpatrick, Matthew",1,26,0.0026,0.00260677762181672
"Mahan, Hunter",1,26,0.0026,0.00260677762181672
"Lahiri, Anirban",1,25,0.0025,0.0025062656641604
"Poulter, Ian",1,19,0.0019,0.00190361687205691
"Aphibarnrat, Kiradech",1,18,0.0018,0.00180324584251653
"Smith, Cameron",1,13,0.0013,0.00130169219985982
"Westwood, Lee",1,12,0.0012,0.00120144173007609
"Cabrera, Angel",1,11,0.0011,0.00110121133246571
"Merritt, Troy",1,11,0.0011,0.00110121133246571
"Love III, Davis",1,9,9e-04,0.000900810729656691
"Dubuisson, Victor",1,7,7e-04,0.000700490343240268
"Langer, Bernhard",1,4,4e-04,0.00040016006402561
"Immelman, Trevor",1,2,2e-04,0.0002000400080016
"Bowditch, Steven",1,1,1e-04,0.0001000100010001
"Day, Jason",2,1063,0.1063,0.118943717131028
"Spieth, Jordan",2,794,0.0794,0.0862480990658266
"McIlroy, Rory",2,772,0.0772,0.0836584308625921
"Johnson, Dustin",2,638,0.0638,0.0681478316599017
"Scott, Adam",2,534,0.0534,0.0564124234100993
"Watson, Bubba",2,520,0.052,0.0548523206751055
"Stenson, Henrik",2,472,0.0472,0.0495382031905961
"Fowler, Rickie",2,470,0.047,0.0493179433368311
"Rose, Justin",2,319,0.0319,0.0329511414110113
"Matsuyama, Hideki",2,279,0.0279,0.0287007509515482
"Casey, Paul",2,240,0.024,0.0245901639344262
"Garcia, Sergio",2,239,0.0239,0.0244851961889151
