"name","X","score","rank","modranks","prob","odds","vegasranks"
"Bae, Sangmoon",48,149,48,62,0.0034,200,61
"Bjorn, Thomas",1,288,8,61,0.0036,150,49
"Blixt, Jonas",2,283,2,74,0.0016,200,61
"Bowditch, Steven",3,292,25,64,0.0032,300,76
"Bradley, Keegan",49,153,74,17,0.0197,28,12
"Cabrera, Angel",50,152,67,19,0.018,50,19
"Castro, Roberto",51,153,74,72,0.002,200,61
"Choi, K.J.",4,294,33,47,0.006,100,38
"Cink, Stewart",5,289,13,52,0.0053,250,69
"Clark, Tim",52,157,83,54,0.0048,200,61
"Clarke, Darren",6,297,42,85,3e-04,400,80
"Couples, Fred",7,290,19,62,0.0034,150,49
"Day, Jason",8,290,19,3,0.0707,14,4
"de Jonge, Brendon",9,295,35,57,0.0043,200,61
"DeLaet, Graham",53,152,67,32,0.0131,66,27
"Donald, Luke",54,149,48,35,0.0116,50,19
"Donaldson, Jamie",10,289,13,35,0.0116,100,38
"Dubuisson, Victor",55,149,48,28,0.0142,80,32
"Dufner, Jason",56,154,78,19,0.018,40,15
"Duke, Ken",57,151,63,66,0.0027,400,80
"Els, Ernie",58,149,48,44,0.0063,125,42
"English, Harris",59,150,59,40,0.0076,50,19
"Ernst, Derek",60,152,67,83,5e-04,750,84
"Every, Matt",61,155,80,43,0.0065,125,42
"Fdez-Castano, Gonzalo",11,292,25,56,0.0046,150,49
"Fitzpatrick, Matthew",62,149,48,81,6e-04,750,84
"Fowler, Rickie",12,286,5,26,0.0148,66,27
"Furyk, Jim",13,289,13,12,0.0259,66,27
"Garcia, Sergio",63,149,48,7,0.0504,25,9
"Glover, Lucas",15,296,40,78,0.0014,300,76
"Goss, Oliver",16,298,46,78,0.0014,750,84
"Grace, Branden",64,153,74,59,0.004,150,49
"Haas, Bill",17,290,19,25,0.015,80,32
"Hanson, Peter",65,159,84,54,0.0048,125,42
"Henley, Russell",18,293,30,68,0.0025,150,49
"Horschel, Billy",19,295,35,38,0.0095,125,42
"Huh, John",66,151,63,69,0.0024,250,69
"Immelman, Trevor",67,153,74,64,0.0032,150,49
"Jaidee, Thongchai",20,295,35,73,0.0019,250,69
"Jimenez, Miguel Angel",21,284,4,41,0.007,150,49
"Johnson, Dustin",68,151,63,10,0.0415,16,5
"Johnson, Zach",69,150,59,15,0.0226,25,9
"Kaymer, Martin",22,293,30,53,0.005,125,42
"Kirk, Chris",23,290,19,48,0.0059,150,49
"Kuchar, Matt",24,286,5,9,0.0474,16,5
"Leishman, Marc",71,149,48,33,0.0124,100,38
"Luiten, Joost",25,292,25,60,0.0039,200,61
"Lynn, David",72,152,67,84,4e-04,250,69
"Mahan, Hunter",26,292,25,23,0.0156,40,15
"Manassero, Matteo",73,152,67,74,0.0016,125,42
"Matsuyama, Hideki",74,151,63,13,0.0257,66,27
"McDowell, Graeme",75,150,59,14,0.0233,50,19
"McIlroy, Rory",27,288,8,2,0.0747,7,1
"Mickelson, Phil",76,149,48,5,0.0545,12,3
"Molinari, Francesco",28,299,47,24,0.0154,125,42
"Moore, Ryan",77,149,48,18,0.0193,80,32
"Olesen, Thorbjorn",29,297,42,69,0.0024,100,38
"Oosthuizen, Louis",30,291,24,42,0.0068,50,19
"Points, D.A.",78,150,59,74,0.0016,300,76
"Poulter, Ian",31,290,19,29,0.014,50,19
"Reed, Patrick",79,152,67,48,0.0059,50,19
"Rose, Justin",32,289,13,4,0.0566,25,9
"Schwartzel, Charl",80,149,48,11,0.0304,40,15
"Scott, Adam",33,289,13,1,0.0896,9,2
"Senden, John",34,288,8,39,0.0092,150,49
"Simpson, Webb",81,149,48,34,0.0121,66,27
"Singh, Vijay",35,295,35,57,0.0043,250,69
"Snedeker, Brandt",36,295,35,16,0.0219,28,12
"Spieth, Jordan",37,283,2,27,0.0143,28,12
"Stadler, Kevin",38,288,8,46,0.0061,200,61
"Stallings, Scott",82,155,80,69,0.0024,150,49
"Stenson, Henrik",39,289,13,8,0.0475,18,7
"Streelman, Kevin",40,296,40,50,0.0057,200,61
"Stricker, Steve",41,293,30,37,0.0106,80,32
"Walker, Jimmy",42,288,8,31,0.0134,55,26
"Watney, Nick",43,297,42,22,0.017,80,32
"Watson, Bubba",44,280,1,6,0.0525,20,8
"Watson, Tom",83,159,84,80,0.001,1000,91
"Weekley, Boo",84,156,82,44,0.0063,300,76
"Weir, Mike",45,297,42,81,6e-04,500,82
"Westwood, Lee",46,287,7,21,0.0172,40,15
"Woodland, Gary",47,292,25,30,0.0137,80,32
"Yang, Y.E.",85,154,78,66,0.0027,250,69
