"name","X","score","rank","modranks","prob","odds","vegasranks"
"Bae, Sangmoon",48,149,48,62,0.0033,200,61
"Bjorn, Thomas",1,288,8,53,0.0043,150,49
"Blixt, Jonas",2,283,2,71,0.002,200,61
"Bowditch, Steven",3,292,25,68,0.0023,300,76
"Bradley, Keegan",49,153,74,19,0.0176,28,12
"Cabrera, Angel",50,152,67,17,0.0198,50,19
"Castro, Roberto",51,153,74,72,0.0019,200,61
"Choi, K.J.",4,294,33,52,0.0049,100,38
"Cink, Stewart",5,289,13,45,0.0062,250,69
"Clark, Tim",52,157,83,54,0.0042,200,61
"Couples, Fred",7,290,19,59,0.0035,150,49
"Day, Jason",8,290,19,2,0.0774,14,4
"de Jonge, Brendon",9,295,35,54,0.0042,200,61
"DeLaet, Graham",53,152,67,29,0.0133,66,27
"Donald, Luke",54,149,48,37,0.0092,50,19
"Donaldson, Jamie",10,289,13,31,0.0126,100,38
"Dubuisson, Victor",55,149,48,22,0.0156,80,32
"Dufner, Jason",56,154,78,20,0.0173,40,15
"Duke, Ken",57,151,63,70,0.0021,400,80
"Els, Ernie",58,149,48,42,0.007,125,42
"English, Harris",59,150,59,38,0.0085,50,19
"Ernst, Derek",60,152,67,78,0.0013,750,84
"Every, Matt",61,155,80,57,0.0039,125,42
"Fdez-Castano, Gonzalo",11,292,25,65,0.0028,150,49
"Fitzpatrick, Matthew",62,149,48,80,0.0011,750,84
"Fowler, Rickie",12,286,5,23,0.0149,66,27
"Furyk, Jim",13,289,13,12,0.0283,66,27
"Garcia, Sergio",63,149,48,8,0.0479,25,9
"Glover, Lucas",15,296,40,75,0.0015,300,76
"Goss, Oliver",16,298,46,79,0.0012,750,84
"Grace, Branden",64,153,74,68,0.0023,150,49
"Haas, Bill",17,290,19,27,0.0138,80,32
"Hanson, Peter",65,159,84,47,0.0056,125,42
"Henley, Russell",18,293,30,63,0.003,150,49
"Horschel, Billy",19,295,35,40,0.0083,125,42
"Huh, John",66,151,63,67,0.0026,250,69
"Immelman, Trevor",67,153,74,59,0.0035,150,49
"Jaidee, Thongchai",20,295,35,75,0.0015,250,69
"Jimenez, Miguel Angel",21,284,4,41,0.0081,150,49
"Johnson, Dustin",68,151,63,10,0.0407,16,5
"Johnson, Zach",69,150,59,16,0.02,25,9
"Kaymer, Martin",22,293,30,54,0.0042,125,42
"Kirk, Chris",23,290,19,44,0.0065,150,49
"Kuchar, Matt",24,286,5,7,0.0495,16,5
"Leishman, Marc",71,149,48,36,0.0102,100,38
"Luiten, Joost",25,292,25,58,0.0036,200,61
"Lynn, David",72,152,67,83,8e-04,250,69
"Mahan, Hunter",26,292,25,26,0.0142,40,15
"Manassero, Matteo",73,152,67,73,0.0017,125,42
"Matsuyama, Hideki",74,151,63,13,0.0267,66,27
"McDowell, Graeme",75,150,59,14,0.0239,50,19
"McIlroy, Rory",27,288,8,3,0.0769,7,1
"Mickelson, Phil",76,149,48,5,0.0585,12,3
"Molinari, Francesco",28,299,47,32,0.0121,125,42
"Moore, Ryan",77,149,48,18,0.019,80,32
"Olesen, Thorbjorn",29,297,42,75,0.0015,100,38
"Oosthuizen, Louis",30,291,24,48,0.0055,50,19
"Points, D.A.",78,150,59,81,0.001,300,76
"Poulter, Ian",31,290,19,25,0.0143,50,19
"Reed, Patrick",79,152,67,42,0.007,50,19
"Rose, Justin",32,289,13,4,0.0619,25,9
"Schwartzel, Charl",80,149,48,11,0.0318,40,15
"Scott, Adam",33,289,13,1,0.0967,9,2
"Senden, John",34,288,8,38,0.0085,150,49
"Simpson, Webb",81,149,48,34,0.0107,66,27
"Singh, Vijay",35,295,35,61,0.0034,250,69
"Snedeker, Brandt",36,295,35,15,0.0216,28,12
"Spieth, Jordan",37,283,2,33,0.0109,28,12
"Stadler, Kevin",38,288,8,50,0.0053,200,61
"Stallings, Scott",82,155,80,63,0.003,150,49
"Stenson, Henrik",39,289,13,9,0.0459,18,7
"Streelman, Kevin",40,296,40,50,0.0053,200,61
"Stricker, Steve",41,293,30,35,0.0103,80,32
"Walker, Jimmy",42,288,8,24,0.0144,55,26
"Watney, Nick",43,297,42,30,0.0128,80,32
"Watson, Bubba",44,280,1,6,0.0525,20,8
"Watson, Tom",83,159,84,82,9e-04,1000,91
"Weekley, Boo",84,156,82,46,0.006,300,76
"Weir, Mike",45,297,42,84,7e-04,500,82
"Westwood, Lee",46,287,7,20,0.0173,40,15
"Woodland, Gary",47,292,25,27,0.0138,80,32
"Yang, Y.E.",85,154,78,65,0.0028,250,69
