"name","score","rank","vegasodds","vegasranks","modranks","prob"
"An, Byeong Hun",151,56,160,38,46,0.0036
"Aphibarnrat, Kiradech",291,15,300,64,58,0.0026
"Berger, Daniel",289,10,200,46,33,0.0065
"Bowditch, Steven",161,79,500,71,77,NA
"Bradley, Keegan",301,51,200,46,57,0.0027
"Cabrera Bello, Rafa",292,17,90,26,22,0.0116
"Cabrera, Angel",294,24,150,36,62,0.0023
"Casey, Paul",287,4,65,19,12,0.0201
"Clarke, Darren",160,78,1000,77,77,NA
"Day, Jason",289,10,6.5,1,1,0.1859
"DeChambeau, Bryson",293,21,150,36,69,0.0018
"Donaldson, Jamie",293,21,200,46,35,0.0058
"Dubuisson, Victor",299,41,200,46,71,0.001
"Dufner, Jason",153,66,110,28,39,0.0045
"Els, Ernie",153,66,225,58,67,0.002
"English, Harris",299,41,130,32,68,0.0019
"Fitzpatrick, Matthew",288,7,250,59,62,0.0023
"Fowler, Rickie",153,66,15,6,6,0.0641
"Garcia, Sergio",296,34,50,15,20,0.0121
"Gomez, Fabian",157,76,500,71,54,0.0028
"Grace, Branden",152,61,85,24,15,0.0169
"Grillo, Emiliano",292,17,200,46,44,0.0038
"Haas, Bill",294,24,110,28,30,0.0077
"Herman, Jim",153,66,300,64,64,0.0022
"Hoffman, Charley",295,29,100,27,26,0.0091
"Holmes, J.B.",287,4,130,32,24,0.0097
"Horschel, Billy",292,17,160,38,28,0.0086
"Immelman, Trevor",151,56,1000,77,76,1e-04
"Jaidee, Thongchai",307,55,300,64,54,0.0028
"Johnson, Dustin",287,4,15,6,4,0.0648
"Johnson, Zach",152,61,50,15,29,0.0084
"Kaufman, Smylie",295,29,250,59,41,0.0042
"Kaymer, Martin",300,48,160,38,42,0.0041
"Kirk, Chris",153,66,160,38,31,0.0074
"Kisner, Kevin",297,37,85,24,34,0.006
"Kjeldsen, Soren",288,7,500,71,42,0.0041
"Knox, Russell",152,61,200,46,37,0.0052
"Koepka, Brooks",293,21,65,19,19,0.0122
"Kuchar, Matt",294,24,65,19,13,0.0188
"Lahiri, Anirban",299,41,250,59,61,0.0024
"Langer, Bernhard",294,24,500,71,71,0.001
"Lee, Danny",292,17,160,38,46,0.0036
"Leishman, Marc",151,56,65,19,25,0.0094
"Lingmerth, David",152,61,200,46,40,0.0043
"Love III, Davis",299,41,500,71,75,5e-04
"Lowry, Shane",298,39,160,38,36,0.0055
"Mahan, Hunter",302,52,200,46,50,0.0033
"Matsuyama, Hideki",288,7,45,13,11,0.0282
"McDowell, Graeme",153,66,200,46,59,0.0025
"McIlroy, Rory",289,10,8,2,3,0.0949
"Merritt, Troy",299,41,300,64,70,0.0012
"Mickelson, Phil",151,56,15,6,10,0.0328
"Moore, Ryan",155,74,110,28,21,0.0117
"Na, Kevin",303,53,130,32,32,0.0069
"Oosthuizen, Louis",291,15,28,11,18,0.015
"Piercy, Scott",295,29,250,59,50,0.0033
"Poulter, Ian",300,48,130,32,49,0.0034
"Reed, Patrick",300,48,45,13,14,0.0178
"Rose, Justin",289,10,25,9,8,0.0494
"Schwartzel, Charl",152,61,35,12,16,0.0155
"Scott, Adam",299,41,12,4,7,0.0577
"Simpson, Webb",295,29,200,46,38,0.005
"Singh, Vijay",153,66,500,71,66,0.0021
"Smith, Cameron",303,53,300,64,74,9e-04
"Snedeker, Brandt",289,10,50,15,17,0.0153
"Spieth, Jordan",286,2,8.5,3,2,0.1409
"Stenson, Henrik",294,24,25,9,9,0.0358
"Streb, Robert",156,75,300,64,64,0.0022
"Streelman, Kevin",296,34,200,46,46,0.0036
"Sullivan, Andy",157,76,160,38,52,0.0032
"Taylor, Vaughn",151,56,300,64,53,0.0031
"Thomas, Justin",298,39,110,28,54,0.0028
"Walker, Jimmy",295,29,65,19,27,0.0087
"Watson, Bubba",297,37,12,4,5,0.0643
"Weir, Mike",154,73,2000,81,77,NA
"Westwood, Lee",286,2,160,38,71,0.001
"Wiesberger, Bernd",296,34,200,46,45,0.0037
"Willett, Danny",283,1,50,15,23,0.011
"Wood, Chris",299,41,250,59,59,0.0025
