"name","score","rank","firstplace","modranks","prob","odds","vegasranks"
"Bae, Sangmoon",149,48,39,60,0.0039,200,61
"Bjorn, Thomas",288,8,40,58,0.004,150,49
"Blixt, Jonas",283,2,29,64,0.0029,200,61
"Bowditch, Steven",292,25,20,72,0.002,300,76
"Bradley, Keegan",153,74,161,21,0.0161,28,12
"Cabrera, Angel",152,67,154,24,0.0154,50,19
"Castro, Roberto",153,74,18,76,0.0018,200,61
"Choi, K.J.",294,33,66,42,0.0066,100,38
"Cink, Stewart",289,13,64,44,0.0064,250,69
"Clark, Tim",157,83,44,51,0.0044,200,61
"Clarke, Darren",297,42,3,85,3e-04,400,80
"Couples, Fred",290,19,32,63,0.0032,150,49
"Day, Jason",290,19,742,3,0.0742,14,4
"de Jonge, Brendon",295,35,41,55,0.0041,200,61
"DeLaet, Graham",152,67,121,34,0.0121,66,27
"Donald, Luke",149,48,115,35,0.0115,50,19
"Donaldson, Jamie",289,13,123,33,0.0123,100,38
"Dubuisson, Victor",149,48,154,24,0.0154,80,32
"Dufner, Jason",154,78,213,17,0.0213,40,15
"Duke, Ken",151,63,22,70,0.0022,400,80
"Els, Ernie",149,48,65,43,0.0065,125,42
"English, Harris",150,59,51,48,0.0051,50,19
"Ernst, Derek",152,67,7,81,7e-04,750,84
"Every, Matt",155,80,43,53,0.0043,125,42
"Fdez-Castano, Gonzalo",292,25,42,54,0.0042,150,49
"Fitzpatrick, Matthew",149,48,19,74,0.0019,750,84
"Fowler, Rickie",286,5,156,23,0.0156,66,27
"Furyk, Jim",289,13,274,13,0.0274,66,27
"Garcia, Sergio",149,48,488,7,0.0488,25,9
"Glover, Lucas",296,40,19,74,0.0019,300,76
"Goss, Oliver",298,46,5,83,5e-04,750,84
"Grace, Branden",153,74,20,72,0.002,150,49
"Haas, Bill",290,19,152,26,0.0152,80,32
"Hanson, Peter",159,84,41,55,0.0041,125,42
"Henley, Russell",293,30,26,68,0.0026,150,49
"Horschel, Billy",295,35,78,40,0.0078,125,42
"Huh, John",151,63,21,71,0.0021,250,69
"Immelman, Trevor",153,74,37,61,0.0037,150,49
"Jaidee, Thongchai",295,35,33,62,0.0033,250,69
"Jimenez, Miguel Angel",284,4,98,38,0.0098,150,49
"Johnson, Dustin",151,63,414,10,0.0414,16,5
"Johnson, Zach",150,59,224,14,0.0224,25,9
"Kaymer, Martin",293,30,44,51,0.0044,125,42
"Kirk, Chris",290,19,61,46,0.0061,150,49
"Kuchar, Matt",286,5,494,6,0.0494,16,5
"Leishman, Marc",149,48,104,36,0.0104,100,38
"Luiten, Joost",292,25,51,48,0.0051,200,61
"Lynn, David",152,67,5,83,5e-04,250,69
"Mahan, Hunter",292,25,127,32,0.0127,40,15
"Manassero, Matteo",152,67,11,80,0.0011,125,42
"Matsuyama, Hideki",151,63,294,12,0.0294,66,27
"McDowell, Graeme",150,59,219,15,0.0219,50,19
"McIlroy, Rory",288,8,762,2,0.0762,7,1
"Mickelson, Phil",149,48,534,5,0.0534,12,3
"Molinari, Francesco",299,47,139,29,0.0139,125,42
"Moore, Ryan",149,48,182,18,0.0182,80,32
"Olesen, Thorbjorn",297,42,29,64,0.0029,100,38
"Oosthuizen, Louis",291,24,64,44,0.0064,50,19
"Points, D.A.",150,59,13,78,0.0013,300,76
"Poulter, Ian",290,19,139,29,0.0139,50,19
"Reed, Patrick",152,67,76,41,0.0076,50,19
"Rose, Justin",289,13,561,4,0.0561,25,9
"Schwartzel, Charl",149,48,322,11,0.0322,40,15
"Scott, Adam",289,13,880,1,0.088,9,2
"Senden, John",288,8,97,39,0.0097,150,49
"Simpson, Webb",149,48,103,37,0.0103,66,27
"Singh, Vijay",295,35,27,67,0.0027,250,69
"Snedeker, Brandt",295,35,217,16,0.0217,28,12
"Spieth, Jordan",283,2,157,22,0.0157,28,12
"Stadler, Kevin",288,8,54,47,0.0054,200,61
"Stallings, Scott",155,80,29,64,0.0029,150,49
"Stenson, Henrik",289,13,451,9,0.0451,18,7
"Streelman, Kevin",296,40,47,50,0.0047,200,61
"Stricker, Steve",293,30,130,31,0.013,80,32
"Walker, Jimmy",288,8,142,28,0.0142,55,26
"Watney, Nick",297,42,150,27,0.015,80,32
"Watson, Bubba",280,1,452,8,0.0452,20,8
"Watson, Tom",159,84,13,78,0.0013,1000,91
"Weekley, Boo",156,82,40,58,0.004,300,76
"Weir, Mike",297,42,7,81,7e-04,500,82
"Westwood, Lee",287,7,181,19,0.0181,40,15
"Woodland, Gary",292,25,163,20,0.0163,80,32
"Yang, Y.E.",154,78,23,69,0.0023,250,69
