"name","rank","firstplace","prob","odds"
"Day, Jason",1,1797,0.1797,0.219066195294404
"Spieth, Jordan",1,1421,0.1421,0.165637020631775
"McIlroy, Rory",1,936,0.0936,0.103265666372462
"Johnson, Dustin",1,658,0.0658,0.0704345964461571
"Watson, Bubba",1,638,0.0638,0.0681478316599017
"Scott, Adam",1,631,0.0631,0.0673497705197993
"Fowler, Rickie",1,604,0.0604,0.0642826734780758
"Rose, Justin",1,460,0.046,0.0482180293501048
"Stenson, Henrik",1,360,0.036,0.037344398340249
"Matsuyama, Hideki",1,328,0.0328,0.0339123242349049
"Mickelson, Phil",1,320,0.032,0.0330578512396694
"Casey, Paul",1,215,0.0215,0.0219724067450179
"Kuchar, Matt",1,183,0.0183,0.0186411327289396
"Reed, Patrick",1,172,0.0172,0.0175010175010175
"Snedeker, Brandt",1,164,0.0164,0.0166734444896299
"Grace, Branden",1,156,0.0156,0.0158472165786266
"Oosthuizen, Louis",1,144,0.0144,0.0146103896103896
"Willett, Danny",1,140,0.014,0.0141987829614604
"Garcia, Sergio",1,135,0.0135,0.0136847440446021
"Schwartzel, Charl",1,132,0.0132,0.0133765707336846
"Koepka, Brooks",1,114,0.0114,0.0115314586283633
"Moore, Ryan",1,106,0.0106,0.0107135637760259
"Cabrera Bello, Rafa",1,99,0.0099,0.00999899000101
"Johnson, Zach",1,95,0.0095,0.00959111559818273
"Holmes, J.B.",1,91,0.0091,0.0091835704914724
"Hoffman, Charley",1,89,0.0089,0.00897992129956614
"Walker, Jimmy",1,88,0.0088,0.00887812752219532
"Leishman, Marc",1,84,0.0084,0.00847115772488907
"Haas, Bill",1,83,0.0083,0.00836946657255218
"Lowry, Shane",1,81,0.0081,0.00816614578082468
"Kirk, Chris",1,76,0.0076,0.00765820233776703
"Horschel, Billy",1,75,0.0075,0.00755667506297229
"Kisner, Kevin",1,72,0.0072,0.0072522159548751
"Knox, Russell",1,53,0.0053,0.00532823967025234
"Berger, Daniel",1,51,0.0051,0.00512614333098804
"Dufner, Jason",1,51,0.0051,0.00512614333098804
"Grillo, Emiliano",1,50,0.005,0.0050251256281407
"Na, Kevin",1,49,0.0049,0.00492412822831876
"Poulter, Ian",1,46,0.0046,0.00462125778581475
"An, Byeong Hun",1,44,0.0044,0.00441944556046605
"Donaldson, Jamie",1,43,0.0043,0.00431856985035653
"Kaymer, Martin",1,41,0.0041,0.00411687920473943
"Lee, Danny",1,39,0.0039,0.00391526955124987
"Bradley, Keegan",1,37,0.0037,0.00371374084111211
"Sullivan, Andy",1,36,0.0036,0.00361300682456845
"Wiesberger, Bernd",1,36,0.0036,0.00361300682456845
"Thomas, Justin",1,36,0.0036,0.00361300682456845
"Kaufman, Smylie",1,35,0.0035,0.00351229302558956
"Simpson, Webb",1,34,0.0034,0.0034115994380895
"Taylor, Vaughn",1,30,0.003,0.00300902708124373
"English, Harris",1,30,0.003,0.00300902708124373
"Kjeldsen, Soren",1,30,0.003,0.00300902708124373
"Gomez, Fabian",1,29,0.0029,0.00290843445993381
"Piercy, Scott",1,28,0.0028,0.00280786201363819
"Streelman, Kevin",1,28,0.0028,0.00280786201363819
"Lingmerth, David",1,27,0.0027,0.00270730973628798
"Cabrera, Angel",1,27,0.0027,0.00270730973628798
"Wood, Chris",1,27,0.0027,0.00270730973628798
"Aphibarnrat, Kiradech",1,25,0.0025,0.0025062656641604
"Fitzpatrick, Matthew",1,24,0.0024,0.00240577385725742
"McDowell, Graeme",1,23,0.0023,0.00230530219504861
"Lahiri, Anirban",1,23,0.0023,0.00230530219504861
"Herman, Jim",1,23,0.0023,0.00230530219504861
"Mahan, Hunter",1,22,0.0022,0.00220485067147725
"Els, Ernie",1,22,0.0022,0.00220485067147725
"Singh, Vijay",1,21,0.0021,0.00210441928048903
"Jaidee, Thongchai",1,18,0.0018,0.00180324584251653
"Merritt, Troy",1,15,0.0015,0.00150225338007011
"Westwood, Lee",1,15,0.0015,0.00150225338007011
"DeChambeau, Bryson",1,12,0.0012,0.00120144173007609
"Langer, Bernhard",1,12,0.0012,0.00120144173007609
"Dubuisson, Victor",1,10,0.001,0.001001001001001
"Streb, Robert",1,10,0.001,0.001001001001001
"Love III, Davis",1,8,8e-04,0.000800640512409928
"Smith, Cameron",1,2,2e-04,0.0002000400080016
"Immelman, Trevor",1,2,2e-04,0.0002000400080016
"Day, Jason",2,1121,0.1121,0.126252956414011
"Spieth, Jordan",2,961,0.0961,0.106317070472397
"McIlroy, Rory",2,739,0.0739,0.0797969981643451
"Johnson, Dustin",2,609,0.0609,0.0648493238206794
"Watson, Bubba",2,553,0.0553,0.0585371017254155
"Scott, Adam",2,548,0.0548,0.0579771476936098
"Fowler, Rickie",2,525,0.0525,0.0554089709762533
"Rose, Justin",2,448,0.0448,0.0469011725293132
"Stenson, Henrik",2,379,0.0379,0.0393929944912171
"Mickelson, Phil",2,377,0.0377,0.0391769718383041
"Matsuyama, Hideki",2,313,0.0313,0.0323113451016827
"Casey, Paul",2,232,0.0232,0.0237510237510237
"Kuchar, Matt",2,212,0.0212,0.021659174499387
"Oosthuizen, Louis",2,202,0.0202,0.0206164523372117
"Snedeker, Brandt",2,196,0.0196,0.0199918400652795
"Grace, Branden",2,192,0.0192,0.0195758564437194
"Reed, Patrick",2,189,0.0189,0.0192640913260626
"Schwartzel, Charl",2,179,0.0179,0.0182262498727217
"Garcia, Sergio",2,163,0.0163,0.0165700925078784
"Willett, Danny",2,146,0.0146,0.0148163182463974
"Koepka, Brooks",2,146,0.0146,0.0148163182463974
"Cabrera Bello, Rafa",2,136,0.0136,0.0137875101378751
"Moore, Ryan",2,132,0.0132,0.0133765707336846
"Walker, Jimmy",2,126,0.0126,0.0127607859023699
"Hoffman, Charley",2,120,0.012,0.0121457489878543
"Horschel, Billy",2,112,0.0112,0.0113268608414239
"Holmes, J.B.",2,110,0.011,0.0111223458038423
"Leishman, Marc",2,110,0.011,0.0111223458038423
"Kirk, Chris",2,105,0.0105,0.010611419909045
"Johnson, Zach",2,103,0.0103,0.010407194099222
"Haas, Bill",2,101,0.0101,0.0102030508132135
"Na, Kevin",2,99,0.0099,0.00999899000101
"Kisner, Kevin",2,95,0.0095,0.00959111559818273
"Berger, Daniel",2,87,0.0087,0.00877635428225562
"Dufner, Jason",2,81,0.0081,0.00816614578082468
"Lowry, Shane",2,80,0.008,0.00806451612903226
"Kaymer, Martin",2,75,0.0075,0.00755667506297229
"Donaldson, Jamie",2,70,0.007,0.00704934541792548
"Poulter, Ian",2,65,0.0065,0.00654252642174132
"Simpson, Webb",2,64,0.0064,0.00644122383252818
"Grillo, Emiliano",2,63,0.0063,0.00633994163228339
"Knox, Russell",2,60,0.006,0.00603621730382294
"An, Byeong Hun",2,58,0.0058,0.00583383625025146
"Thomas, Justin",2,56,0.0056,0.00563153660498793
"Kaufman, Smylie",2,53,0.0053,0.00532823967025234
"Piercy, Scott",2,50,0.005,0.0050251256281407
"McDowell, Graeme",2,50,0.005,0.0050251256281407
"Taylor, Vaughn",2,49,0.0049,0.00492412822831876
"Bradley, Keegan",2,49,0.0049,0.00492412822831876
"Wiesberger, Bernd",2,47,0.0047,0.00472219431327238
"Mahan, Hunter",2,46,0.0046,0.00462125778581475
"Lee, Danny",2,46,0.0046,0.00462125778581475
"Cabrera, Angel",2,45,0.0045,0.00452034153691612
"Streelman, Kevin",2,45,0.0045,0.00452034153691612
"Wood, Chris",2,45,0.0045,0.00452034153691612
"Lingmerth, David",2,45,0.0045,0.00452034153691612
"Herman, Jim",2,44,0.0044,0.00441944556046605
"Kjeldsen, Soren",2,44,0.0044,0.00441944556046605
"Fitzpatrick, Matthew",2,44,0.0044,0.00441944556046605
"Sullivan, Andy",2,43,0.0043,0.00431856985035653
"Lahiri, Anirban",2,38,0.0038,0.00381449508130897
"Jaidee, Thongchai",2,34,0.0034,0.0034115994380895
"Gomez, Fabian",2,32,0.0032,0.00321027287319422
"Els, Ernie",2,32,0.0032,0.00321027287319422
"Aphibarnrat, Kiradech",2,31,0.0031,0.00310963988363928
"English, Harris",2,30,0.003,0.00300902708124373
"Singh, Vijay",2,27,0.0027,0.00270730973628798
"Westwood, Lee",2,26,0.0026,0.00260677762181672
"DeChambeau, Bryson",2,25,0.0025,0.0025062656641604
"Streb, Robert",2,24,0.0024,0.00240577385725742
"Love III, Davis",2,21,0.0021,0.00210441928048903
"Merritt, Troy",2,18,0.0018,0.00180324584251653
"Smith, Cameron",2,16,0.0016,0.0016025641025641
"Dubuisson, Victor",2,14,0.0014,0.00140196274784699
"Langer, Bernhard",2,8,8e-04,0.000800640512409928
"Bowditch, Steven",2,2,2e-04,0.0002000400080016
"Immelman, Trevor",2,2,2e-04,0.0002000400080016
"Clarke, Darren",2,1,1e-04,0.0001000100010001
"Day, Jason",3,834,0.0834,0.0909884355225835
"Spieth, Jordan",3,779,0.0779,0.0844810758052272
"McIlroy, Rory",3,677,0.0677,0.0726161106939826
"Fowler, Rickie",3,533,0.0533,0.0563008344776592
"Watson, Bubba",3,529,0.0529,0.0558547143912998
"Scott, Adam",3,495,0.0495,0.0520778537611783
"Johnson, Dustin",3,478,0.0478,0.0501995379122033
"Rose, Justin",3,409,0.0409,0.0426441455531227
"Stenson, Henrik",3,358,0.0358,0.0371292263015972
"Mickelson, Phil",3,334,0.0334,0.0345541071798055
"Matsuyama, Hideki",3,308,0.0308,0.0317787866281469
"Casey, Paul",3,256,0.0256,0.0262725779967159
"Reed, Patrick",3,238,0.0238,0.024380249948781
"Kuchar, Matt",3,208,0.0208,0.0212418300653595
"Grace, Branden",3,199,0.0199,0.0203040506070809
"Oosthuizen, Louis",3,194,0.0194,0.0197838058331634
"Snedeker, Brandt",3,190,0.019,0.0193679918450561
"Schwartzel, Charl",3,181,0.0181,0.0184336490477645
"Koepka, Brooks",3,166,0.0166,0.016880211511084
"Leishman, Marc",3,153,0.0153,0.0155377272265665
"Holmes, J.B.",3,151,0.0151,0.015331505736623
"Moore, Ryan",3,151,0.0151,0.015331505736623
"Willett, Danny",3,148,0.0148,0.0150223304912708
"Garcia, Sergio",3,147,0.0147,0.0149193139145438
"Walker, Jimmy",3,138,0.0138,0.013993104846887
"Cabrera Bello, Rafa",3,133,0.0133,0.0134792743488396
"Hoffman, Charley",3,128,0.0128,0.0129659643435981
"Kirk, Chris",3,116,0.0116,0.0117361392148928
"Horschel, Billy",3,114,0.0114,0.0115314586283633
"Johnson, Zach",3,114,0.0114,0.0115314586283633
"Kisner, Kevin",3,107,0.0107,0.0108157282927322
"Haas, Bill",3,104,0.0104,0.0105092966855295
"Na, Kevin",3,104,0.0104,0.0105092966855295
"Donaldson, Jamie",3,98,0.0098,0.00989699050696829
"Dufner, Jason",3,97,0.0097,0.00979501161264263
"Berger, Daniel",3,95,0.0095,0.00959111559818273
"Grillo, Emiliano",3,91,0.0091,0.0091835704914724
"Lowry, Shane",3,85,0.0085,0.00857286938981341
"Kaymer, Martin",3,81,0.0081,0.00816614578082468
"Lingmerth, David",3,78,0.0078,0.00786131828260431
"An, Byeong Hun",3,77,0.0077,0.00775975007558198
"Simpson, Webb",3,73,0.0073,0.00735368187770726
"Kjeldsen, Soren",3,66,0.0066,0.00664384940608013
"Piercy, Scott",3,66,0.0066,0.00664384940608013
"Sullivan, Andy",3,65,0.0065,0.00654252642174132
"Poulter, Ian",3,59,0.0059,0.00593501659792777
"Knox, Russell",3,58,0.0058,0.00583383625025146
"Lee, Danny",3,57,0.0057,0.00573267625465151
"Aphibarnrat, Kiradech",3,54,0.0054,0.00542931831892218
"Thomas, Justin",3,54,0.0054,0.00542931831892218
"Wiesberger, Bernd",3,51,0.0051,0.00512614333098804
"Fitzpatrick, Matthew",3,51,0.0051,0.00512614333098804
"English, Harris",3,50,0.005,0.0050251256281407
"Taylor, Vaughn",3,49,0.0049,0.00492412822831876
"Wood, Chris",3,49,0.0049,0.00492412822831876
"Cabrera, Angel",3,48,0.0048,0.00482315112540193
"Lahiri, Anirban",3,48,0.0048,0.00482315112540193
"Kaufman, Smylie",3,48,0.0048,0.00482315112540193
"Bradley, Keegan",3,46,0.0046,0.00462125778581475
"Mahan, Hunter",3,45,0.0045,0.00452034153691612
"Streelman, Kevin",3,44,0.0044,0.00441944556046605
"Singh, Vijay",3,42,0.0042,0.00421771440048202
"Jaidee, Thongchai",3,42,0.0042,0.00421771440048202
"Gomez, Fabian",3,40,0.004,0.00401606425702811
"Els, Ernie",3,36,0.0036,0.00361300682456845
"McDowell, Graeme",3,35,0.0035,0.00351229302558956
"Herman, Jim",3,35,0.0035,0.00351229302558956
"DeChambeau, Bryson",3,32,0.0032,0.00321027287319422
"Streb, Robert",3,32,0.0032,0.00321027287319422
"Westwood, Lee",3,31,0.0031,0.00310963988363928
"Dubuisson, Victor",3,26,0.0026,0.00260677762181672
"Love III, Davis",3,20,0.002,0.00200400801603206
"Smith, Cameron",3,17,0.0017,0.00170289492136632
"Langer, Bernhard",3,17,0.0017,0.00170289492136632
"Merritt, Troy",3,13,0.0013,0.00130169219985982
"Immelman, Trevor",3,3,3e-04,0.000300090027008102
"Spieth, Jordan",4,631,0.0631,0.0673497705197993
"Day, Jason",4,586,0.0586,0.0622477161674102
"McIlroy, Rory",4,515,0.0515,0.0542962572482868
"Johnson, Dustin",4,479,0.0479,0.0503098414032139
"Fowler, Rickie",4,466,0.0466,0.0488777008600797
"Watson, Bubba",4,448,0.0448,0.0469011725293132
"Scott, Adam",4,439,0.0439,0.0459156991946449
"Rose, Justin",4,395,0.0395,0.0411244143675169
"Mickelson, Phil",4,391,0.0391,0.0406910188365074
"Stenson, Henrik",4,367,0.0367,0.0380982040901069
"Matsuyama, Hideki",4,332,0.0332,0.034340091021928
"Casey, Paul",4,260,0.026,0.026694045174538
"Snedeker, Brandt",4,242,0.0242,0.0248001639680262
"Grace, Branden",4,233,0.0233,0.0238558410975735
"Reed, Patrick",4,221,0.0221,0.0225994477962982
"Garcia, Sergio",4,206,0.0206,0.0210332856851133
"Kuchar, Matt",4,205,0.0205,0.0209290454313425
"Schwartzel, Charl",4,197,0.0197,0.0200958890135673
"Oosthuizen, Louis",4,190,0.019,0.0193679918450561
"Koepka, Brooks",4,176,0.0176,0.0179153094462541
"Willett, Danny",4,176,0.0176,0.0179153094462541
"Cabrera Bello, Rafa",4,168,0.0168,0.0170870626525631
"Walker, Jimmy",4,157,0.0157,0.015950421619425
"Moore, Ryan",4,153,0.0153,0.0155377272265665
"Hoffman, Charley",4,147,0.0147,0.0149193139145438
"Holmes, J.B.",4,144,0.0144,0.0146103896103896
"Leishman, Marc",4,130,0.013,0.0131712259371834
"Horschel, Billy",4,122,0.0122,0.0123506782749544
"Kisner, Kevin",4,122,0.0122,0.0123506782749544
"Johnson, Zach",4,119,0.0119,0.0120433154539014
"Kirk, Chris",4,117,0.0117,0.0118385105737124
"Haas, Bill",4,113,0.0113,0.0114291493880854
"Na, Kevin",4,111,0.0111,0.0112245929821013
"Donaldson, Jamie",4,102,0.0102,0.0103051121438674
"Dufner, Jason",4,100,0.01,0.0101010101010101
"Grillo, Emiliano",4,98,0.0098,0.00989699050696829
"Lowry, Shane",4,95,0.0095,0.00959111559818273
"Simpson, Webb",4,95,0.0095,0.00959111559818273
"Berger, Daniel",4,95,0.0095,0.00959111559818273
"Knox, Russell",4,88,0.0088,0.00887812752219532
"An, Byeong Hun",4,87,0.0087,0.00877635428225562
"Wiesberger, Bernd",4,84,0.0084,0.00847115772488907
"Kaymer, Martin",4,81,0.0081,0.00816614578082468
"Kaufman, Smylie",4,70,0.007,0.00704934541792548
"Sullivan, Andy",4,68,0.0068,0.00684655658477648
"Thomas, Justin",4,68,0.0068,0.00684655658477648
"Kjeldsen, Soren",4,68,0.0068,0.00684655658477648
"Bradley, Keegan",4,68,0.0068,0.00684655658477648
"Streelman, Kevin",4,65,0.0065,0.00654252642174132
"Piercy, Scott",4,65,0.0065,0.00654252642174132
"Lingmerth, David",4,63,0.0063,0.00633994163228339
"Wood, Chris",4,60,0.006,0.00603621730382294
"Lee, Danny",4,59,0.0059,0.00593501659792777
"Jaidee, Thongchai",4,59,0.0059,0.00593501659792777
"Taylor, Vaughn",4,56,0.0056,0.00563153660498793
"Fitzpatrick, Matthew",4,54,0.0054,0.00542931831892218
"English, Harris",4,51,0.0051,0.00512614333098804
"Streb, Robert",4,48,0.0048,0.00482315112540193
"McDowell, Graeme",4,48,0.0048,0.00482315112540193
"Poulter, Ian",4,48,0.0048,0.00482315112540193
"Herman, Jim",4,47,0.0047,0.00472219431327238
"Gomez, Fabian",4,47,0.0047,0.00472219431327238
"Cabrera, Angel",4,46,0.0046,0.00462125778581475
"Mahan, Hunter",4,45,0.0045,0.00452034153691612
"Aphibarnrat, Kiradech",4,44,0.0044,0.00441944556046605
"Singh, Vijay",4,43,0.0043,0.00431856985035653
"Els, Ernie",4,43,0.0043,0.00431856985035653
"Lahiri, Anirban",4,41,0.0041,0.00411687920473943
"Dubuisson, Victor",4,37,0.0037,0.00371374084111211
"DeChambeau, Bryson",4,37,0.0037,0.00371374084111211
"Westwood, Lee",4,31,0.0031,0.00310963988363928
"Merritt, Troy",4,30,0.003,0.00300902708124373
"Love III, Davis",4,27,0.0027,0.00270730973628798
"Langer, Bernhard",4,27,0.0027,0.00270730973628798
"Smith, Cameron",4,15,0.0015,0.00150225338007011
"Immelman, Trevor",4,9,9e-04,0.000900810729656691
"Clarke, Darren",4,5,5e-04,0.000500250125062531
"Bowditch, Steven",4,1,1e-04,0.0001000100010001
"Day, Jason",5,563,0.0563,0.059658789869662
"Spieth, Jordan",5,526,0.0526,0.0555203715431708
"McIlroy, Rory",5,480,0.048,0.0504201680672269
"Watson, Bubba",5,452,0.0452,0.0473397570171764
"Johnson, Dustin",5,408,0.0408,0.042535446205171
"Fowler, Rickie",5,398,0.0398,0.0414496979795876
"Scott, Adam",5,395,0.0395,0.0411244143675169
"Rose, Justin",5,365,0.0365,0.0378827192527244
"Mickelson, Phil",5,351,0.0351,0.0363768266141569
"Stenson, Henrik",5,347,0.0347,0.0359473738734072
"Matsuyama, Hideki",5,318,0.0318,0.032844453625284
"Grace, Branden",5,253,0.0253,0.0259567046270647
"Kuchar, Matt",5,232,0.0232,0.0237510237510237
"Casey, Paul",5,218,0.0218,0.0222858311183807
"Schwartzel, Charl",5,216,0.0216,0.0220768601798855
"Oosthuizen, Louis",5,213,0.0213,0.0217635639113109
"Reed, Patrick",5,206,0.0206,0.0210332856851133
"Snedeker, Brandt",5,202,0.0202,0.0206164523372117
"Willett, Danny",5,180,0.018,0.0183299389002037
"Garcia, Sergio",5,180,0.018,0.0183299389002037
"Holmes, J.B.",5,164,0.0164,0.0166734444896299
"Kirk, Chris",5,163,0.0163,0.0165700925078784
"Walker, Jimmy",5,159,0.0159,0.01615689462453
"Hoffman, Charley",5,157,0.0157,0.015950421619425
"Haas, Bill",5,157,0.0157,0.015950421619425
"Koepka, Brooks",5,154,0.0154,0.0156408693885842
"Moore, Ryan",5,152,0.0152,0.0154346060113729
"Horschel, Billy",5,143,0.0143,0.0145074566298062
"Leishman, Marc",5,141,0.0141,0.0143016533116949
"Cabrera Bello, Rafa",5,140,0.014,0.0141987829614604
"Johnson, Zach",5,133,0.0133,0.0134792743488396
"Kisner, Kevin",5,126,0.0126,0.0127607859023699
"Lowry, Shane",5,114,0.0114,0.0115314586283633
"Simpson, Webb",5,113,0.0113,0.0114291493880854
"Na, Kevin",5,112,0.0112,0.0113268608414239
"Dufner, Jason",5,111,0.0111,0.0112245929821013
"Poulter, Ian",5,102,0.0102,0.0103051121438674
"Berger, Daniel",5,100,0.01,0.0101010101010101
"Donaldson, Jamie",5,99,0.0099,0.00999899000101
"Grillo, Emiliano",5,96,0.0096,0.00969305331179321
"Kaymer, Martin",5,93,0.0093,0.009387301907742
"Wiesberger, Bernd",5,84,0.0084,0.00847115772488907
"Sullivan, Andy",5,83,0.0083,0.00836946657255218
"Knox, Russell",5,81,0.0081,0.00816614578082468
"Piercy, Scott",5,80,0.008,0.00806451612903226
"Bradley, Keegan",5,80,0.008,0.00806451612903226
"Kaufman, Smylie",5,79,0.0079,0.00796290696502369
"Kjeldsen, Soren",5,78,0.0078,0.00786131828260431
"An, Byeong Hun",5,78,0.0078,0.00786131828260431
"Wood, Chris",5,78,0.0078,0.00786131828260431
"Lingmerth, David",5,75,0.0075,0.00755667506297229
"Taylor, Vaughn",5,73,0.0073,0.00735368187770726
"Jaidee, Thongchai",5,71,0.0071,0.00715077047033941
"Mahan, Hunter",5,69,0.0069,0.00694794079146108
"Lahiri, Anirban",5,68,0.0068,0.00684655658477648
"Lee, Danny",5,66,0.0066,0.00664384940608013
"Thomas, Justin",5,66,0.0066,0.00664384940608013
"Singh, Vijay",5,66,0.0066,0.00664384940608013
"English, Harris",5,66,0.0066,0.00664384940608013
"Cabrera, Angel",5,62,0.0062,0.00623867981485208
"Herman, Jim",5,59,0.0059,0.00593501659792777
"Aphibarnrat, Kiradech",5,58,0.0058,0.00583383625025146
"McDowell, Graeme",5,54,0.0054,0.00542931831892218
"Fitzpatrick, Matthew",5,54,0.0054,0.00542931831892218
"Streelman, Kevin",5,53,0.0053,0.00532823967025234
"Gomez, Fabian",5,52,0.0052,0.00522718134298351
"Els, Ernie",5,50,0.005,0.0050251256281407
"Streb, Robert",5,47,0.0047,0.00472219431327238
"DeChambeau, Bryson",5,46,0.0046,0.00462125778581475
"Westwood, Lee",5,45,0.0045,0.00452034153691612
"Dubuisson, Victor",5,33,0.0033,0.00331092605598475
"Merritt, Troy",5,32,0.0032,0.00321027287319422
"Love III, Davis",5,27,0.0027,0.00270730973628798
"Smith, Cameron",5,24,0.0024,0.00240577385725742
"Langer, Bernhard",5,23,0.0023,0.00230530219504861
"Immelman, Trevor",5,8,8e-04,0.000800640512409928
"Clarke, Darren",5,3,3e-04,0.000300090027008102
"Bowditch, Steven",5,1,1e-04,0.0001000100010001
"Spieth, Jordan",6,445,0.0445,0.0465724751439037
"Day, Jason",6,443,0.0443,0.0463534581981793
"McIlroy, Rory",6,421,0.0421,0.0439503079653408
"Watson, Bubba",6,408,0.0408,0.042535446205171
"Scott, Adam",6,384,0.0384,0.0399334442595674
"Fowler, Rickie",6,373,0.0373,0.0387451958034694
"Johnson, Dustin",6,369,0.0369,0.0383137784238397
"Rose, Justin",6,353,0.0353,0.036591686534674
"Stenson, Henrik",6,331,0.0331,0.0342331161443789
"Mickelson, Phil",6,315,0.0315,0.0325245224574084
"Matsuyama, Hideki",6,254,0.0254,0.0260619741432382
"Casey, Paul",6,248,0.0248,0.0254306808859721
"Grace, Branden",6,237,0.0237,0.0242753252074158
"Kuchar, Matt",6,217,0.0217,0.0221813349688235
"Reed, Patrick",6,213,0.0213,0.0217635639113109
"Oosthuizen, Louis",6,209,0.0209,0.021346134204882
"Schwartzel, Charl",6,204,0.0204,0.0208248264597795
"Cabrera Bello, Rafa",6,197,0.0197,0.0200958890135673
"Snedeker, Brandt",6,196,0.0196,0.0199918400652795
"Garcia, Sergio",6,186,0.0186,0.0189525168127165
"Holmes, J.B.",6,183,0.0183,0.0186411327289396
"Koepka, Brooks",6,181,0.0181,0.0184336490477645
"Hoffman, Charley",6,178,0.0178,0.0181225819588678
"Willett, Danny",6,174,0.0174,0.0177081213108081
"Moore, Ryan",6,164,0.0164,0.0166734444896299
"Kirk, Chris",6,144,0.0144,0.0146103896103896
"Leishman, Marc",6,142,0.0142,0.0144045445323595
"Na, Kevin",6,139,0.0139,0.0140959334753068
"Walker, Jimmy",6,137,0.0137,0.013890297069857
"Johnson, Zach",6,134,0.0134,0.0135819987837016
"Haas, Bill",6,119,0.0119,0.0120433154539014
"Berger, Daniel",6,119,0.0119,0.0120433154539014
"Donaldson, Jamie",6,118,0.0118,0.0119409026512852
"Horschel, Billy",6,112,0.0112,0.0113268608414239
"Kisner, Kevin",6,112,0.0112,0.0113268608414239
"Dufner, Jason",6,112,0.0112,0.0113268608414239
"Simpson, Webb",6,111,0.0111,0.0112245929821013
"Knox, Russell",6,108,0.0108,0.0109179134654266
"An, Byeong Hun",6,107,0.0107,0.0108157282927322
"Lowry, Shane",6,106,0.0106,0.0107135637760259
"Kaymer, Martin",6,102,0.0102,0.0103051121438674
"Piercy, Scott",6,100,0.01,0.0101010101010101
"Thomas, Justin",6,92,0.0092,0.00928542591844974
"Grillo, Emiliano",6,90,0.009,0.00908173562058527
"Poulter, Ian",6,87,0.0087,0.00877635428225562
"Taylor, Vaughn",6,87,0.0087,0.00877635428225562
"Bradley, Keegan",6,87,0.0087,0.00877635428225562
"Sullivan, Andy",6,87,0.0087,0.00877635428225562
"Kaufman, Smylie",6,84,0.0084,0.00847115772488907
"Lee, Danny",6,84,0.0084,0.00847115772488907
"Lingmerth, David",6,83,0.0083,0.00836946657255218
"Wiesberger, Bernd",6,80,0.008,0.00806451612903226
"Kjeldsen, Soren",6,79,0.0079,0.00796290696502369
"Wood, Chris",6,78,0.0078,0.00786131828260431
"Lahiri, Anirban",6,76,0.0076,0.00765820233776703
"English, Harris",6,76,0.0076,0.00765820233776703
"Gomez, Fabian",6,73,0.0073,0.00735368187770726
"Fitzpatrick, Matthew",6,71,0.0071,0.00715077047033941
"Streelman, Kevin",6,71,0.0071,0.00715077047033941
"Jaidee, Thongchai",6,68,0.0068,0.00684655658477648
"Singh, Vijay",6,64,0.0064,0.00644122383252818
"Streb, Robert",6,63,0.0063,0.00633994163228339
"Aphibarnrat, Kiradech",6,61,0.0061,0.0061374383740819
"Cabrera, Angel",6,61,0.0061,0.0061374383740819
"McDowell, Graeme",6,60,0.006,0.00603621730382294
"Mahan, Hunter",6,60,0.006,0.00603621730382294
"Herman, Jim",6,59,0.0059,0.00593501659792777
"Westwood, Lee",6,52,0.0052,0.00522718134298351
"Els, Ernie",6,52,0.0052,0.00522718134298351
"Merritt, Troy",6,49,0.0049,0.00492412822831876
"Dubuisson, Victor",6,48,0.0048,0.00482315112540193
"DeChambeau, Bryson",6,43,0.0043,0.00431856985035653
"Smith, Cameron",6,31,0.0031,0.00310963988363928
"Love III, Davis",6,23,0.0023,0.00230530219504861
"Langer, Bernhard",6,16,0.0016,0.0016025641025641
"Immelman, Trevor",6,8,8e-04,0.000800640512409928
"Clarke, Darren",6,5,5e-04,0.000500250125062531
"Bowditch, Steven",6,2,2e-04,0.0002000400080016
"Weir, Mike",6,1,1e-04,0.0001000100010001
"Day, Jason",7,395,0.0395,0.0411244143675169
"Spieth, Jordan",7,393,0.0393,0.0409076714895389
"Johnson, Dustin",7,392,0.0392,0.0407993338884263
"McIlroy, Rory",7,379,0.0379,0.0393929944912171
"Scott, Adam",7,366,0.0366,0.0379904504878555
"Watson, Bubba",7,364,0.0364,0.0377750103777501
"Stenson, Henrik",7,356,0.0356,0.0369141435089175
"Fowler, Rickie",7,350,0.035,0.0362694300518135
"Rose, Justin",7,330,0.033,0.0341261633919338
"Mickelson, Phil",7,291,0.0291,0.0299721907508497
"Matsuyama, Hideki",7,286,0.0286,0.0294420424130121
"Casey, Paul",7,248,0.0248,0.0254306808859721
"Kuchar, Matt",7,224,0.0224,0.0229132569558101
"Snedeker, Brandt",7,221,0.0221,0.0225994477962982
"Grace, Branden",7,214,0.0214,0.0218679746576742
