"name","X","score","rank","odds","vegasranks","modranks","prob"
"Bae, Sangmoon",48,149,48,200,61,64,0.003
"Bjorn, Thomas",1,288,8,150,49,50,0.0053
"Blixt, Jonas",2,283,2,200,61,68,0.0023
"Bowditch, Steven",3,292,25,300,76,73,0.0019
"Bradley, Keegan",49,153,74,28,12,15,0.0207
"Cabrera, Angel",50,152,67,50,19,18,0.0196
"Castro, Roberto",51,153,74,200,61,71,0.0022
"Choi, K.J.",4,294,33,100,38,43,0.0068
"Cink, Stewart",5,289,13,250,69,47,0.0059
"Clark, Tim",52,157,83,200,61,63,0.0031
"Clarke, Darren",6,297,42,400,80,83,4e-04
"Couples, Fred",7,290,19,150,49,56,0.004
"Day, Jason",8,290,19,14,4,2,0.0851
"de Jonge, Brendon",9,295,35,200,61,58,0.0037
"DeLaet, Graham",53,152,67,66,27,35,0.0114
"Donald, Luke",54,149,48,50,19,38,0.0088
"Donaldson, Jamie",10,289,13,100,38,31,0.0128
"Dubuisson, Victor",55,149,48,80,32,23,0.0151
"Dufner, Jason",56,154,78,40,15,21,0.0166
"Duke, Ken",57,151,63,400,80,68,0.0023
"Els, Ernie",58,149,48,125,42,45,0.0064
"English, Harris",59,150,59,50,19,40,0.008
"Ernst, Derek",60,152,67,750,84,81,6e-04
"Every, Matt",61,155,80,125,42,52,0.0046
"Fdez-Castano, Gonzalo",11,292,25,150,49,59,0.0035
"Fitzpatrick, Matthew",62,149,48,750,84,77,0.0013
"Fowler, Rickie",12,286,5,66,27,33,0.0121
"Furyk, Jim",13,289,13,66,27,12,0.0279
"Garcia, Sergio",63,149,48,25,9,8,0.0477
"Glover, Lucas",15,296,40,300,76,76,0.0014
"Goss, Oliver",16,298,46,750,84,83,4e-04
"Grace, Branden",64,153,74,150,49,65,0.0026
"Haas, Bill",17,290,19,80,32,22,0.0158
"Hanson, Peter",65,159,84,125,42,60,0.0034
"Henley, Russell",18,293,30,150,49,66,0.0025
"Horschel, Billy",19,295,35,125,42,39,0.0084
"Huh, John",66,151,63,250,69,61,0.0033
"Immelman, Trevor",67,153,74,150,49,57,0.0038
"Jaidee, Thongchai",20,295,35,250,69,75,0.0015
"Jimenez, Miguel Angel",21,284,4,150,49,42,0.0071
"Johnson, Dustin",68,151,63,16,5,10,0.0401
"Johnson, Zach",69,150,59,25,9,14,0.0247
"Kaymer, Martin",22,293,30,125,42,54,0.0043
"Kirk, Chris",23,290,19,150,49,41,0.0072
"Kuchar, Matt",24,286,5,16,5,6,0.0521
"Leishman, Marc",71,149,48,100,38,28,0.013
"Luiten, Joost",25,292,25,200,61,53,0.0045
"Lynn, David",72,152,67,250,69,80,7e-04
"Mahan, Hunter",26,292,25,40,15,27,0.0137
"Manassero, Matteo",73,152,67,125,42,74,0.0016
"Matsuyama, Hideki",74,151,63,66,27,13,0.0271
"McDowell, Graeme",75,150,59,50,19,15,0.0207
"McIlroy, Rory",27,288,8,7,1,3,0.0732
"Mickelson, Phil",76,149,48,12,3,5,0.0577
"Molinari, Francesco",28,299,47,125,42,28,0.013
"Moore, Ryan",77,149,48,80,32,17,0.02
"Olesen, Thorbjorn",29,297,42,100,38,71,0.0022
"Oosthuizen, Louis",30,291,24,50,19,46,0.0062
"Points, D.A.",78,150,59,300,76,81,6e-04
"Poulter, Ian",31,290,19,50,19,32,0.0125
"Reed, Patrick",79,152,67,50,19,49,0.0057
"Rose, Justin",32,289,13,25,9,4,0.0622
"Schwartzel, Charl",80,149,48,40,15,11,0.0292
"Scott, Adam",33,289,13,9,2,1,0.0946
"Senden, John",34,288,8,150,49,37,0.0098
"Simpson, Webb",81,149,48,66,27,30,0.0129
"Singh, Vijay",35,295,35,250,69,67,0.0024
"Snedeker, Brandt",36,295,35,28,12,19,0.0189
"Spieth, Jordan",37,283,2,28,12,34,0.0116
"Stadler, Kevin",38,288,8,200,61,48,0.0058
"Stallings, Scott",82,155,80,150,49,68,0.0023
"Stenson, Henrik",39,289,13,18,7,8,0.0477
"Streelman, Kevin",40,296,40,200,61,51,0.0049
"Stricker, Steve",41,293,30,80,32,36,0.0102
"Walker, Jimmy",42,288,8,55,26,24,0.0147
"Watney, Nick",43,297,42,80,32,25,0.0144
"Watson, Bubba",44,280,1,20,8,7,0.049
"Watson, Tom",83,159,84,1000,91,79,0.001
"Weekley, Boo",84,156,82,300,76,44,0.0065
"Weir, Mike",45,297,42,500,82,83,4e-04
"Westwood, Lee",46,287,7,40,15,20,0.0175
"Woodland, Gary",47,292,25,80,32,25,0.0144
"Yang, Y.E.",85,154,78,250,69,62,0.0032
