"name","X","score","rank","Vegasodds","vegasranks","modranks","prob"
"Bae, Sangmoon",1,288,32,250,57,51,0.0049
"Bjorn, Thomas",55,151,74,300,66,77,9e-04
"Blixt, Jonas",2,287,27,150,43,64,0.0033
"Bradley, Keegan",3,286,22,60,20,31,0.0084
"Cabrera, Angel",4,286,22,80,28,41,0.0065
"Casey, Paul",5,279,6,70,25,16,0.0168
"Clarke, Darren",6,294,51,1000,82,83,1e-04
"Compton, Erik",7,293,50,500,75,59,0.0037
"Couples, Fred",56,153,80,150,43,28,0.0094
"Crane, Ben",57,157,83,500,75,70,0.002
"Day, Jason",8,287,27,12,4,3,0.1087
"Donald, Luke",58,147,55,100,34,65,0.0029
"Donaldson, Jamie",9,288,32,125,38,29,0.0091
"Dubuisson, Victor",59,149,72,100,34,54,0.0045
"Dufner, Jason",10,292,48,125,38,49,0.0052
"Els, Ernie",11,286,22,150,43,76,0.0012
"Every, Matt",60,147,55,250,57,80,3e-04
"Fowler, Rickie",12,282,12,30,12,11,0.0243
"Furyk, Jim",61,147,55,70,25,8,0.0307
"Gallacher, Stephen",62,147,55,300,66,73,0.0016
"Garcia, Sergio",13,283,17,40,15,13,0.0219
"Grace, Branden",63,148,66,200,54,21,0.0133
"Haas, Bill",14,282,12,80,28,30,0.0089
"Hahn, James",64,147,55,200,54,46,0.0054
"Harman, Brian",65,148,66,500,75,47,0.0053
"Harrington, Padraig",66,149,72,150,43,69,0.0021
"Henley, Russell",15,285,21,125,38,32,0.0083
"Hoffman, Charley",16,280,9,250,57,47,0.0053
"Hoffmann, Morgan",17,287,27,250,57,66,0.0025
"Holmes, J.B.",67,147,55,35,14,17,0.0152
"Horschel, Billy",68,148,66,70,25,26,0.0095
"Ilonen, Mikko",69,147,55,500,75,72,0.0017
"Immelman, Trevor",70,153,80,500,75,77,9e-04
"Jaidee, Thongchai",18,297,54,500,75,82,2e-04
"Jimenez, Miguel Angel",71,151,74,150,43,51,0.0049
"Johnson, Dustin",19,279,6,12,4,7,0.0414
"Johnson, Zach",20,280,9,60,20,23,0.0128
"Kaymer, Martin",72,151,74,65,24,38,0.0073
"Kirk, Chris",21,288,32,150,43,42,0.0064
"Koepka, Brooks",22,288,32,80,28,22,0.0132
"Kuchar, Matt",23,290,45,30,12,12,0.0234
"Lahiri, Anirban",24,292,48,300,66,62,0.0036
"Langer, Bernhard",73,147,55,300,66,79,6e-04
"Lowry, Shane",74,147,55,150,43,26,0.0095
"Luiten, Joost",75,148,66,250,57,59,0.0037
"Mahan, Hunter",25,280,9,100,34,35,0.008
"Martin, Ben",76,148,66,300,66,57,0.004
"Matsuyama, Hideki",26,277,5,60,20,9,0.0262
"McDowell, Graeme",27,294,51,150,43,67,0.0022
"McIlroy, Rory",28,276,4,8,1,1,0.1351
"Mickelson, Phil",29,274,2,20,7,15,0.0207
"Moore, Ryan",30,282,12,60,20,25,0.0108
"Na, Kevin",31,282,12,100,34,35,0.008
"Noh, Seung-Yul",32,289,37,300,66,75,0.0013
"Ogilvy, Geoff",33,291,47,300,66,55,0.0044
"Oosthuizen, Louis",34,284,19,50,19,34,0.0081
"Palmer, Ryan",35,288,32,80,28,18,0.0144
"Poulter, Ian",36,279,6,80,28,19,0.0141
"Reed, Patrick",37,286,22,25,11,37,0.0078
"Rose, Justin",38,274,2,40,15,6,0.0543
"Schwartzel, Charl",39,289,37,80,28,33,0.0082
"Scott, Adam",40,289,37,20,7,10,0.0244
"Senden, John",41,289,37,250,57,44,0.0062
"Simpson, Webb",42,287,27,150,43,39,0.0072
"Singh, Vijay",43,295,53,125,38,59,0.0037
"Snedeker, Brandt",77,147,55,40,15,24,0.0119
"Spieth, Jordan",44,270,1,8,1,4,0.0727
"Stadler, Kevin",78,151,74,500,75,71,0.0019
"Stenson, Henrik",45,284,19,20,7,5,0.0691
"Streb, Robert",79,156,82,300,66,40,0.0066
"Streelman, Kevin",46,282,12,150,43,57,0.004
"Stricker, Steve",47,287,27,200,54,50,0.005
"Todd, Brendon",80,151,74,250,57,45,0.0055
"Tringale, Cameron",48,289,37,300,66,56,0.0041
"Villegas, Camilo",81,148,66,250,57,73,0.0016
"Walker, Jimmy",49,289,37,18,6,20,0.0138
"Watson, Bubba",50,289,37,10,3,1,0.1351
"Watson, Tom",82,152,79,1000,82,83,1e-04
"Weir, Mike",83,163,85,1000,82,84,NA
"Westwood, Lee",51,290,45,45,18,14,0.0213
"Wiesberger, Bernd",52,286,22,250,57,63,0.0035
"Willett, Danny",53,289,37,150,43,51,0.0049
"Woodland, Gary",84,147,55,125,38,42,0.0064
"Woods, Tiger",54,283,17,20,7,67,0.0022
"Yang, Gunn",85,159,84,1000,82,80,3e-04
