"name","score","rank","vegasodds","vegasranks","modranks","prob"
"An, Byeong Hun",151,56,160,38,40,0.004
"Aphibarnrat, Kiradech",291,15,300,64,56,0.0025
"Berger, Daniel",289,10,200,46,34,0.0065
"Bowditch, Steven",161,79,500,71,77,1e-04
"Bradley, Keegan",301,51,200,46,63,0.002
"Cabrera Bello, Rafa",292,17,90,26,22,0.0109
"Cabrera, Angel",294,24,150,36,53,0.0029
"Casey, Paul",287,4,65,19,12,0.0195
"Clarke, Darren",160,78,1000,77,78,NA
"Day, Jason",289,10,6.5,1,1,0.1925
"DeChambeau, Bryson",293,21,150,36,60,0.0022
"Donaldson, Jamie",293,21,200,46,39,0.0046
"Dubuisson, Victor",299,41,200,46,72,0.001
"Dufner, Jason",153,66,110,28,37,0.0049
"Els, Ernie",153,66,225,58,54,0.0028
"English, Harris",299,41,130,32,50,0.0031
"Fitzpatrick, Matthew",288,7,250,59,65,0.0019
"Fowler, Rickie",153,66,15,6,7,0.0613
"Garcia, Sergio",296,34,50,15,20,0.0115
"Gomez, Fabian",157,76,500,71,60,0.0022
"Grace, Branden",152,61,85,24,17,0.0134
"Grillo, Emiliano",292,17,200,46,37,0.0049
"Haas, Bill",294,24,110,28,28,0.008
"Herman, Jim",153,66,300,64,65,0.0019
"Hoffman, Charley",295,29,100,27,26,0.0089
"Holmes, J.B.",287,4,130,32,23,0.0104
"Horschel, Billy",292,17,160,38,32,0.0073
"Immelman, Trevor",151,56,1000,77,76,2e-04
"Jaidee, Thongchai",307,55,300,64,56,0.0025
"Johnson, Dustin",287,4,15,6,4,0.0664
"Johnson, Zach",152,61,50,15,25,0.009
"Kaufman, Smylie",295,29,250,59,46,0.0034
"Kaymer, Martin",300,48,160,38,45,0.0036
"Kirk, Chris",153,66,160,38,29,0.0077
"Kisner, Kevin",297,37,85,24,31,0.0074
"Kjeldsen, Soren",288,7,500,71,50,0.0031
"Knox, Russell",152,61,200,46,43,0.0037
"Koepka, Brooks",293,21,65,19,21,0.0113
"Kuchar, Matt",294,24,65,19,13,0.0176
"Lahiri, Anirban",299,41,250,59,59,0.0023
"Langer, Bernhard",294,24,500,71,73,8e-04
"Lee, Danny",292,17,160,38,42,0.0038
"Leishman, Marc",151,56,65,19,30,0.0076
"Lingmerth, David",152,61,200,46,49,0.0032
"Love III, Davis",299,41,500,71,74,7e-04
"Lowry, Shane",298,39,160,38,35,0.0056
"Mahan, Hunter",302,52,200,46,67,0.0018
"Matsuyama, Hideki",288,7,45,13,11,0.0309
"McDowell, Graeme",153,66,200,46,67,0.0018
"McIlroy, Rory",289,10,8,2,3,0.0933
"Merritt, Troy",299,41,300,64,71,0.0015
"Mickelson, Phil",151,56,15,6,10,0.0342
"Moore, Ryan",155,74,110,28,27,0.0088
"Na, Kevin",303,53,130,32,33,0.0072
"Oosthuizen, Louis",291,15,28,11,18,0.0127
"Piercy, Scott",295,29,250,59,43,0.0037
"Poulter, Ian",300,48,130,32,40,0.004
"Reed, Patrick",300,48,45,13,14,0.0168
"Rose, Justin",289,10,25,9,8,0.0471
"Schwartzel, Charl",152,61,35,12,16,0.0136
"Scott, Adam",299,41,12,4,6,0.0617
"Simpson, Webb",295,29,200,46,36,0.005
"Singh, Vijay",153,66,500,71,58,0.0024
"Smith, Cameron",303,53,300,64,75,5e-04
"Snedeker, Brandt",289,10,50,15,15,0.0161
"Spieth, Jordan",286,2,8.5,3,2,0.14
"Stenson, Henrik",294,24,25,9,9,0.036
"Streb, Robert",156,75,300,64,70,0.0016
"Streelman, Kevin",296,34,200,46,60,0.0022
"Sullivan, Andy",157,76,160,38,46,0.0034
"Taylor, Vaughn",151,56,300,64,52,0.003
"Thomas, Justin",298,39,110,28,55,0.0027
"Walker, Jimmy",295,29,65,19,24,0.0099
"Watson, Bubba",297,37,12,4,5,0.0639
"Weir, Mike",154,73,2000,81,78,NA
"Westwood, Lee",286,2,160,38,69,0.0017
"Wiesberger, Bernd",296,34,200,46,46,0.0034
"Willett, Danny",283,1,50,15,19,0.0119
"Wood, Chris",299,41,250,59,63,0.002
