"name","modranks","prob","mododds"
"Garcia, Sergio",2,0.13,"6.7:1"
"Kjeldsen, Soren",10,0.02,"49:1"
"McGirt, William",14,0.01,"99:1"
"Rahm, Jon",3,0.09,"10.1:1"
"Pieters, Thomas",7,0.05,"19:1"
"Hoffman, Charley",5,0.07,"13.3:1"
"Fowler, Rickie",1,0.31,"2.2:1"
"McIlroy, Rory",5,0.07,"13.3:1"
"Mickelson, Phil",14,0.01,"99:1"
"Spieth, Jordan",3,0.09,"10.1:1"
"Henley, Russell",10,0.02,"49:1"
"Matsuyama, Hideki",10,0.02,"49:1"
"Scott, Adam",10,0.02,"49:1"
"Haas, Bill",14,0.01,"99:1"
"Schwartzel, Charl",14,0.01,"99:1"
"Kuchar, Matt",14,0.01,"99:1"
"Moore, Ryan",8,0.03,"32.3:1"
"Rose, Justin",8,0.03,"32.3:1"
