"name","modranks","prob","mododds"
"Fowler, Rickie",1,0.21,"3.8:1"
"Garcia, Sergio",2,0.18,"4.6:1"
"Pieters, Thomas",3,0.14,"6.1:1"
"Spieth, Jordan",4,0.11,"8.1:1"
"Rahm, Jon",5,0.08,"11.5:1"
"Rose, Justin",6,0.06,"15.7:1"
"McIlroy, Rory",6,0.06,"15.7:1"
"Hoffman, Charley",8,0.05,"19:1"
"Scott, Adam",9,0.02,"49:1"
"Mickelson, Phil",9,0.02,"49:1"
"Moore, Ryan",9,0.02,"49:1"
"Kaymer, Martin",12,0.01,"99:1"
"Kuchar, Matt",12,0.01,"99:1"
"Dufner, Jason",12,0.01,"99:1"
"Koepka, Brooks",12,0.01,"99:1"
"Hadwin, Adam",12,0.01,"99:1"
