name,year,hole,yardage,round,par,score,rtp_score,fairway,green,bunker,sand_save,scrambling,putts,par3,par4,par5,sg_approach,sg_around,sg_tee,sg_putt,sg_total,total_score,no_holes,avg_round_score,rank,no_masters,OWGR_april,OWGR_feb,rtp_score_grouped,time,round_hole,round_hole_time,round_year,no_masters_category,OWGR_change,Level,P(.) with player effects,P(.) with no player effects
"An, Byeong Hun",2016,1,445,1,4,6,2,1,0,0,0,0,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,1,13,2016,1,-0.1134,2,0.02958,0.02958
"An, Byeong Hun",2016,1,445,1,4,6,2,1,0,0,0,0,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,1,13,2016,1,-0.1134,1,0.29388,0.29388
"An, Byeong Hun",2016,1,445,1,4,6,2,1,0,0,0,0,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,1,13,2016,1,-0.1134,0,0.93732,0.93732
"An, Byeong Hun",2016,1,445,2,4,4,0,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,2,26,4032,1,-0.1134,2,0.02958,0.02958
"An, Byeong Hun",2016,1,445,2,4,4,0,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,2,26,4032,1,-0.1134,1,0.29388,0.29388
"An, Byeong Hun",2016,1,445,2,4,4,0,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,2,26,4032,1,-0.1134,0,0.93732,0.93732
"An, Byeong Hun",2016,1,445,3,4,.,.,1,0,0,0,0,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,3,39,6048,1,-0.1134,2,0.02958,0.02958
"An, Byeong Hun",2016,1,445,3,4,.,.,1,0,0,0,0,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,3,39,6048,1,-0.1134,1,0.29388,0.29388
"An, Byeong Hun",2016,1,445,3,4,.,.,1,0,0,0,0,3,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,3,39,6048,1,-0.1134,0,0.93732,0.93732
"An, Byeong Hun",2016,1,445,4,4,.,.,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,4,52,8064,1,-0.1134,2,0.02958,0.02958
"An, Byeong Hun",2016,1,445,4,4,.,.,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,4,52,8064,1,-0.1134,1,0.29388,0.29388
"An, Byeong Hun",2016,1,445,4,4,.,.,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,4,52,8064,1,-0.1134,0,0.93732,0.93732
"Aphibarnrat, Kiradech",2016,1,445,1,4,4,0,0,1,0,0,-1,2,3.16,4.14,4.64,-0.723,-0.648,0.089,0.774,-0.508,291,72,72.75,15.5,1,2.6587,2.6257,.,12,1,13,2016,1,0.033,2,0.03377,0.03377
"Aphibarnrat, Kiradech",2016,1,445,1,4,4,0,0,1,0,0,-1,2,3.16,4.14,4.64,-0.723,-0.648,0.089,0.774,-0.508,291,72,72.75,15.5,1,2.6587,2.6257,.,12,1,13,2016,1,0.033,1,0.323,0.323
"Aphibarnrat, Kiradech",2016,1,445,1,4,4,0,0,1,0,0,-1,2,3.16,4.14,4.64,-0.723,-0.648,0.089,0.774,-0.508,291,72,72.75,15.5,1,2.6587,2.6257,.,12,1,13,2016,1,0.033,0,0.94488,0.94488
"Aphibarnrat, Kiradech",2016,1,445,2,4,4,0,1,1,0,0,-1,2,3.16,4.14,4.64,-0.723,-0.648,0.089,0.774,-0.508,291,72,72.75,15.5,1,2.6587,2.6257,.,12,2,26,4032,1,0.033,2,0.03377,0.03377
"Aphibarnrat, Kiradech",2016,1,445,2,4,4,0,1,1,0,0,-1,2,3.16,4.14,4.64,-0.723,-0.648,0.089,0.774,-0.508,291,72,72.75,15.5,1,2.6587,2.6257,.,12,2,26,4032,1,0.033,1,0.323,0.323
"Aphibarnrat, Kiradech",2016,1,445,2,4,4,0,1,1,0,0,-1,2,3.16,4.14,4.64,-0.723,-0.648,0.089,0.774,-0.508,291,72,72.75,15.5,1,2.6587,2.6257,.,12,2,26,4032,1,0.033,0,0.94488,0.94488
"Aphibarnrat, Kiradech",2016,1,445,3,4,5,1,1,0,0,0,0,1,3.16,4.14,4.64,-0.723,-0.648,0.089,0.774,-0.508,291,72,72.75,15.5,1,2.6587,2.6257,.,12,3,39,6048,1,0.033,2,0.03377,0.03377
"Aphibarnrat, Kiradech",2016,1,445,3,4,5,1,1,0,0,0,0,1,3.16,4.14,4.64,-0.723,-0.648,0.089,0.774,-0.508,291,72,72.75,15.5,1,2.6587,2.6257,.,12,3,39,6048,1,0.033,1,0.323,0.323
"Aphibarnrat, Kiradech",2016,1,445,3,4,5,1,1,0,0,0,0,1,3.16,4.14,4.64,-0.723,-0.648,0.089,0.774,-0.508,291,72,72.75,15.5,1,2.6587,2.6257,.,12,3,39,6048,1,0.033,0,0.94488,0.94488
"Aphibarnrat, Kiradech",2016,1,445,4,4,4,0,0,1,0,0,-1,2,3.16,4.14,4.64,-0.723,-0.648,0.089,0.774,-0.508,291,72,72.75,15.5,1,2.6587,2.6257,.,12,4,52,8064,1,0.033,2,0.03377,0.03377
"Aphibarnrat, Kiradech",2016,1,445,4,4,4,0,0,1,0,0,-1,2,3.16,4.14,4.64,-0.723,-0.648,0.089,0.774,-0.508,291,72,72.75,15.5,1,2.6587,2.6257,.,12,4,52,8064,1,0.033,1,0.323,0.323
