"","name","score","rank"
"1","Bjorn, Thomas",288,8
"2","Blixt, Jonas",283,2
"3","Bowditch, Steven",292,25
"4","Choi, K.J.",294,33
"5","Cink, Stewart",289,13
"6","Clarke, Darren",297,42
"7","Couples, Fred",290,19
"8","Day, Jason",290,19
"9","de Jonge, Brendon",295,35
"10","Donaldson, Jamie",289,13
"11","Fdez-Castano, Gonzalo",292,25
"12","Fowler, Rickie",286,5
"13","Furyk, Jim",289,13
"14","Gallacher, Stephen",294,33
"15","Glover, Lucas",296,40
"16","Goss, Oliver",298,46
"17","Haas, Bill",290,19
"18","Henley, Russell",293,30
"19","Horschel, Billy",295,35
"20","Jaidee, Thongchai",295,35
"21","Jimenez, Miguel Angel",284,4
"22","Kaymer, Martin",293,30
"23","Kirk, Chris",290,19
"24","Kuchar, Matt",286,5
"25","Luiten, Joost",292,25
"26","Mahan, Hunter",292,25
"27","McIlroy, Rory",288,8
"28","Molinari, Francesco",299,47
"29","Olesen, Thorbjorn",297,42
"30","Oosthuizen, Louis",291,24
"31","Poulter, Ian",290,19
"32","Rose, Justin",289,13
"33","Scott, Adam",289,13
"34","Senden, John",288,8
"35","Singh, Vijay",295,35
"36","Snedeker, Brandt",295,35
"37","Spieth, Jordan",283,2
"38","Stadler, Kevin",288,8
"39","Stenson, Henrik",289,13
"40","Streelman, Kevin",296,40
"41","Stricker, Steve",293,30
"42","Walker, Jimmy",288,8
"43","Watney, Nick",297,42
"44","Watson, Bubba",280,1
"45","Weir, Mike",297,42
"46","Westwood, Lee",287,7
"47","Woodland, Gary",292,25
"48","Bae, Sangmoon",149,48
"49","Bradley, Keegan",153,74
"50","Cabrera, Angel",152,67
"51","Castro, Roberto",153,74
"52","Clark, Tim",157,83
"53","DeLaet, Graham",152,67
"54","Donald, Luke",149,48
"55","Dubuisson, Victor",149,48
"56","Dufner, Jason",154,78
"57","Duke, Ken",151,63
"58","Els, Ernie",149,48
"59","English, Harris",150,59
"60","Ernst, Derek",152,67
"61","Every, Matt",155,80
"62","Fitzpatrick, Matthew",149,48
"63","Garcia, Sergio",149,48
"64","Grace, Branden",153,74
"65","Hanson, Peter",159,84
"66","Huh, John",151,63
"67","Immelman, Trevor",153,74
"68","Johnson, Dustin",151,63
"69","Johnson, Zach",150,59
"70","Jones, Matt",152,67
"71","Leishman, Marc",149,48
"72","Lynn, David",152,67
"73","Manassero, Matteo",152,67
"74","Matsuyama, Hideki",151,63
"75","McDowell, Graeme",150,59
"76","Mickelson, Phil",149,48
"77","Moore, Ryan",149,48
"78","Points, D.A.",150,59
"79","Reed, Patrick",152,67
"80","Schwartzel, Charl",149,48
"81","Simpson, Webb",149,48
"82","Stallings, Scott",155,80
"83","Watson, Tom",159,84
"84","Weekley, Boo",156,82
"85","Yang, Y.E.",154,78
