"startsun","name"
210,"Rose, Justin"
210,"Garcia, Sergio"
211,"Fowler, Rickie"
212,"Moore, Ryan"
212,"Hoffman, Charley"
212,"Spieth, Jordan"
213,"Scott, Adam"
214,"Schwartzel, Charl"
215,"Pieters, Thomas"
215,"Westwood, Lee"
216,"Kuchar, Matt"
216,"Casey, Paul"
216,"McGirt, William"
216,"Kjeldsen, Soren"
216,"Rahm, Jon"
216,"McIlroy, Rory"
217,"Chappell, Kevin"
217,"Walker, Jimmy"
217,"Couples, Fred"
217,"Dufner, Jason"
218,"Koepka, Brooks"
218,"Snedeker, Brandt"
218,"Perez, Pat"
218,"Mickelson, Phil"
218,"Haas, Bill"
218,"Henley, Russell"
219,"Day, Jason"
220,"Thomas, Justin"
220,"Stricker, Steve"
220,"Kaymer, Martin"
220,"Matsuyama, Hideki"
221,"Stuard, Brian"
221,"Molinari, Francesco"
221,"Grace, Branden"
221,"Hagestad, Stewart"
222,"Berger, Daniel"
222,"Grillo, Emiliano"
222,"Fitzpatrick, Matthew"
222,"Steele, Brendan"
223,"An, Byeong Hun"
223,"Kisner, Kevin"
223,"Holmes, J.B."
224,"Fisher, Ross"
224,"Summerhays, Daniel"
224,"Oosthuizen, Louis"
224,"Hadwin, Adam"
225,"Luck, Curtis"
225,"Leishman, Marc"
225,"Hahn, James"
225,"Sullivan, Andy"
225,"Wiesberger, Bernd"
229,"Mize, Larry"
230,"Els, Ernie"
