first,last
Phil,Mickelson
Tim,Wilkinson
Jason,Day
Bill,Haas
Paul,Casey
Chad,Collins
Cameron,Tringale
Dustin,Johnson
Zac,Blair
Luke,Donald
Cameron,Smith
Chris,Stroud
Steven,Alker
Hideto,Tanihara
D.A.,Points
Hideki,Matsuyama
Rafa,Cabrera Bello
Kevin,Na
Seamus,Power
Steven,Bowditch
Matt,Kuchar
Webb,Simpson
Justin,Rose
Zach,Johnson
Pat,Perez
Sergio,Garcia
Kevin,Kisner
J.B.,Holmes
Brendan,Steele
Ian,Poulter
Wesley,Bryan
K.J.,Choi
Louis,Oosthuizen
Rod,Pampling
Fabian,Gomez
Ryo,Ishikawa
SiWoo,Kim
Rickie,Fowler
Retief,Goosen
Aaron,Baddeley
Greg,Chalmers
Stewart,Cink
Alex,Noren
Brian,Harman
Justin,Thomas
Carl,Pettersson
Steve,Wheatcroft
Seung-Yul,Noh
Jordan,Spieth
Emiliano,Grillo
Matt,Jones
Ryan,Armour
Brandt,Snedeker
Robert,Streb
Marc,Leishman
Lucas,Glover
Brandon,Hagy
Harris,English
Alex,Cejka
Tyrone,VanAswegen
Trey,Mullinax
Daniel,Summerhays
David,Hearn
Peter,Malnati
Bryce,Molder
Adam,Scott
Luke,List
Jhonattan,Vegas
Billy,HurleyIII
Jamie,Lovemark
Nick,Taylor
Cody,Gribble
Chad,Campbell
Soren,Kjeldsen
Patton,Kizzire
Bryson,DeChambeau
Jon,Rahm
Jason,Dufner
Dominic,Bozzelli
Jonas,Blixt
Shawn,Stefani
Martin,Kaymer
Rory,Sabbatini
Tony,Finau
Camilo,Villegas
Mark,Wilson
Miguel Angel,Carballo
Troy,Merritt
Geoff,Ogilvy
Vijay,Singh
C.T.,Pan
Kevin,Chappell
Ben,Crane
Charles,Howell III
Spencer,Levin
Mackenzie,Hughes
Michael,Kim
Chris,Kirk
Graeme,McDowell
Martin,Laird
Brian,Stuard
Ernie,Els
Matthew,Fitzpatrick
Tyler,Aldridge
Ricky,Barnes
Andres,Gonzales
J.T.,Poston
Ollie,Schniederjans
Kyle,Stanley
Derek,Fathauer
Charley,Hoffman
Scott,Piercy
Adam,Hadwin
Brooks,Koepka
Patrick,Reed
Jim,Furyk
Whee,Kim
Gary,Woodland
Anirban,Lahiri
Gonzalo,Fdez-Castano
Ryan,Blaum
Roberto,Castro
Ken,Duke
Kevin,Streelman
Shane,Lowry
Jimmy,Walker
Brian,Campbell
Xander,Schauffele
Russell,Henley
Ryan,Brehm
Francesco,Molinari
Tag,Ridings
Charl,Schwartzel
Scott,Stallings
Cameron,Percy
Jon,Curran
Keegan,Bradley
Thomas,Pieters
Russell,Knox
Mark,Anderson
Brian,Gay
Steve,Marino
James,Hahn
Mark,Hubbard
Kyle,Reifers
Harold,Varner III
Ryan,Palmer
Zack,Sucher
Matt,Every
John,Huh
Sung,Kang
Kevin,Tway
Byeong Hun,An
J.J.,Henry
Johnson,Wagner
Billy,Horschel
Ryan,Moore
Will,MacKenzie
Sean,O'Hair
Hiroshi,Iwata
Brad,Fritsch
Scott,Brown
William,McGirt
Sebastian,Munoz
Bob,Estes
Jason,Bohn
Bud,Cauley
David,Lingmerth
John,Senden
Nick,Watney
Martin,Flores
Daniel,Berger
Jonathan,Randolph
Henrik,Norlander
Michael,Thompson
Patrick,Rodgers
Smylie,Kaufman
Aaron,Wise
Rory,McIlroy
Brett,Drewitt
Jim,Herman
John,Peterson
Ben,Martin
Nicholas,Lindheim
Rick,Lamb
Branden,Grace
Vaughn,Taylor
Sam,Saunders
Danny,Lee
Richy,Werenski
Morgan,Hoffmann
Chez,Reavie
Grayson,Murray
Tyrrell,Hatton
Julian,Etulain
Blayne,Barber
Kelly,Kraft
J.J.,Spaun
Jason,Kokrak
Robert,Garrigus
Boo,Weekley
Greg,Owen
Graham,DeLaet
Bubba,Watson
Brett,Stegmaier
Bobby,Wyatt
Jeunghun,Wang
Hudson,Swafford
Max,Homa
Hunter,Mahan
Andrew,Loupe
Andrew,Johnston
