"","name","rank","friday","sunday","simulationID"
"1","An, Byeong Hun",45,144,292,"5001"
"73","Aphibarnrat, Kiradech",32,142,289,"5001"
"145","Berger, Daniel",39,144,290,"5001"
"217","Bowditch, Steven",50,146,297,"5001"
"289","Bradley, Keegan",68,149,NA,"5001"
"361","Cabrera Bello, Rafa",18,144,286,"5001"
"433","Cabrera, Angel",28,146,288,"5001"
"505","Casey, Paul",5,136,280,"5001"
"577","Clarke, Darren",62,148,NA,"5001"
"649","Day, Jason",4,141,279,"5001"
"721","DeChambeau, Bryson",75,151,NA,"5001"
"793","Donaldson, Jamie",52,147,NA,"5001"
"865","Dubuisson, Victor",28,144,288,"5001"
"937","Dufner, Jason",39,146,290,"5001"
"1009","Els, Ernie",22,144,287,"5001"
"1081","English, Harris",11,141,283,"5001"
"1153","Fitzpatrick, Matthew",32,141,289,"5001"
"1225","Fowler, Rickie",68,149,NA,"5001"
"1297","Garcia, Sergio",78,152,NA,"5001"
"1369","Gomez, Fabian",68,149,NA,"5001"
"1441","Grace, Branden",45,146,292,"5001"
"1513","Grillo, Emiliano",28,143,288,"5001"
"1585","Haas, Bill",22,141,287,"5001"
"1657","Herman, Jim",49,146,296,"5001"
"1729","Hoffman, Charley",28,146,288,"5001"
"1801","Holmes, J.B.",15,140,284,"5001"
"1873","Horschel, Billy",52,147,NA,"5001"
"1945","Immelman, Trevor",62,148,NA,"5001"
"2017","Jaidee, Thongchai",68,149,NA,"5001"
"2089","Johnson, Dustin",18,142,286,"5001"
"2161","Johnson, Zach",39,141,290,"5001"
"2233","Kaufman, Smylie",18,144,286,"5001"
"2305","Kaymer, Martin",11,143,283,"5001"
"2377","Kirk, Chris",75,151,NA,"5001"
"2449","Kisner, Kevin",32,143,289,"5001"
"2521","Kjeldsen, Soren",18,141,286,"5001"
"2593","Knox, Russell",32,146,289,"5001"
"2665","Koepka, Brooks",22,141,287,"5001"
"2737","Kuchar, Matt",6,140,281,"5001"
"2809","Lahiri, Anirban",62,148,NA,"5001"
"2881","Langer, Bernhard",39,143,290,"5001"
"2953","Lee, Danny",17,143,285,"5001"
"3025","Leishman, Marc",43,139,291,"5001"
"3097","Lingmerth, David",79,153,NA,"5001"
"3169","Love III, Davis",52,147,NA,"5001"
"3241","Lowry, Shane",52,147,NA,"5001"
"3313","Mahan, Hunter",74,150,NA,"5001"
"3385","Matsuyama, Hideki",68,149,NA,"5001"
"3457","McDowell, Graeme",62,148,NA,"5001"
"3529","McIlroy, Rory",22,143,287,"5001"
"3601","Merritt, Troy",52,147,NA,"5001"
"3673","Mickelson, Phil",11,141,283,"5001"
"3745","Moore, Ryan",52,147,NA,"5001"
"3817","Na, Kevin",62,148,NA,"5001"
"3889","Oosthuizen, Louis",52,147,NA,"5001"
"3961","Piercy, Scott",32,142,289,"5001"
"4033","Poulter, Ian",48,144,293,"5001"
"4105","Reed, Patrick",32,145,289,"5001"
"4177","Rose, Justin",6,143,281,"5001"
"4249","Schwartzel, Charl",62,148,NA,"5001"
"4321","Scott, Adam",1,137,275,"5001"
"4393","Simpson, Webb",22,140,287,"5001"
"4465","Singh, Vijay",43,146,291,"5001"
"4537","Smith, Cameron",50,143,297,"5001"
"4609","Snedeker, Brandt",15,142,284,"5001"
"4681","Spieth, Jordan",2,137,277,"5001"
"4753","Stenson, Henrik",6,140,281,"5001"
"4825","Streb, Robert",3,138,278,"5001"
"4897","Streelman, Kevin",32,141,289,"5001"
"4969","Sullivan, Andy",22,145,287,"5001"
"5041","Taylor, Vaughn",52,147,NA,"5001"
"5113","Thomas, Justin",9,138,282,"5001"
"5185","Walker, Jimmy",68,149,NA,"5001"
"5257","Watson, Bubba",11,144,283,"5001"
"5329","Weir, Mike",75,151,NA,"5001"
"5401","Westwood, Lee",52,147,NA,"5001"
"5473","Wiesberger, Bernd",52,147,NA,"5001"
"5545","Willett, Danny",9,141,282,"5001"
"5617","Wood, Chris",45,145,292,"5001"
"11","An, Byeong Hun",20,143,286,"5002"
"731","Aphibarnrat, Kiradech",73,151,NA,"5002"
"1451","Berger, Daniel",44,146,290,"5002"
"2171","Bowditch, Steven",55,146,300,"5002"
"2891","Bradley, Keegan",68,150,NA,"5002"
"3611","Cabrera Bello, Rafa",33,142,288,"5002"
"4331","Cabrera, Angel",50,143,292,"5002"
"5051","Casey, Paul",20,145,286,"5002"
"5771","Clarke, Darren",52,145,294,"5002"
"6491","Day, Jason",10,141,280,"5002"
"7211","DeChambeau, Bryson",17,144,284,"5002"
