name,modranks,prob,run
"An, Byeong Hun",49,0.0032,1
"Berger, Daniel",30,0.0074,1
"Cabrera, Angel",33,0.0057,1
"Cabrera-Bello, Rafael",59,0.0016,1
"Casey, Paul",17,0.0108,1
"Castro, Roberto",71,8.00E-04,1
"Chappell, Kevin",67,0.001,1
"Day, Jason",9,0.0246,1
"Dufner, Jason",35,0.0045,1
"Els, Ernie",78,3.00E-04,1
"Fisher, Ross",12,0.0218,1
"Fitzpatrick, Matthew",48,0.0033,1
"Fleetwood, Tommy",10,0.0238,1
"Fowler, Rickie",4,0.0478,1
"Furyk, Jim",57,0.0018,1
"Garcia, Sergio",14,0.0165,1
"Grace, Branden",58,0.0017,1
"Grillo, Emiliano",49,0.0032,1
"Haas, Bill",23,0.0094,1
"Hadwin, Adam",31,0.0069,1
"Hahn, James",65,0.0011,1
"Hatton, Tyrrell",8,0.0298,1
"Henley, Russell",15,0.0139,1
"Hoffman, Charley",29,0.0075,1
"Holmes, J.B.",21,0.0096,1
"Hughes, Mackenzie",73,7.00E-04,1
"Hurley III, Billy",71,8.00E-04,1
"Ikeda, Yuta",77,5.00E-04,1
"Johnson, Dustin",1,0.2338,1
"Johnson, Zach",51,0.0031,1
"Kaymer, Martin",32,0.0066,1
"Kim, Si Woo",79,1.00E-04,1
"Kisner, Kevin",27,0.0078,1
"Kjeldsen, Soren",52,0.0025,1
"Knox, Russell",73,7.00E-04,1
"Koepka, Brooks",41,0.004,1
"Kuchar, Matt",28,0.0076,1
"Leishman, Marc",16,0.0117,1
"Lowry, Shane",18,0.0103,1
"Matsuyama, Hideki",5,0.0433,1
"McGirt, William",55,0.0022,1
"McIlroy, Rory",2,0.1252,1
"Mickelson, Phil",13,0.0172,1
"Molinari, Francesco",25,0.0092,1
"Moore, Ryan",34,0.0052,1
"Na, Kevin",53,0.0024,1
"Noren, Alex",60,0.0014,1
"O'Hair, Sean",43,0.0038,1
"Oosthuizen, Louis",22,0.0095,1
"Pampling, Rod",69,9.00E-04,1
"Perez, Pat",41,0.004,1
"Piercy, Scott",43,0.0038,1
"Pieters, Thomas",36,0.0043,1
"Rahm, Jon",7,0.0306,1
"Reed, Patrick",36,0.0043,1
"Rose, Justin",6,0.0333,1
"Schwartzel, Charl",45,0.0037,1
"Scott, Adam",18,0.0103,1
"Simpson, Webb",56,0.0021,1
"Singh, Vijay",79,1.00E-04,1
"Snedeker, Brandt",24,0.0093,1
"Spieth, Jordan",3,0.0526,1
"Steele, Brendan",36,0.0043,1
"Stenson, Henrik",26,0.0089,1
"Stricker, Steve",60,0.0014,1
"Stuard, Brian",76,6.00E-04,1
"Sullivan, Andy",39,0.0042,1
"Summerhays, Daniel",65,0.0011,1
"Swafford, Hudson",45,0.0037,1
"Tanihara, Hideto",60,0.0014,1
"Thomas, Justin",11,0.0221,1
"Vegas, Jhonattan",60,0.0014,1
"Walker, Jimmy",53,0.0024,1
"Wang, Jeunghun",73,7.00E-04,1
"Watson, Bubba",39,0.0042,1
"Westwood, Lee",64,0.0013,1
"Wiesberger, Bernd",47,0.0036,1
"Willett, Danny",69,9.00E-04,1
"Wood, Chris",67,0.001,1
"Woodland, Gary",20,0.0099,1
"An, Byeong Hun",42,0.0041,2
"Berger, Daniel",31,0.0072,2
"Cabrera, Angel",30,0.0074,2
"Cabrera-Bello, Rafael",72,9.00E-04,2
"Casey, Paul",23,0.0094,2
"Castro, Roberto",72,9.00E-04,2
"Chappell, Kevin",70,0.001,2
"Day, Jason",10,0.022,2
"Dufner, Jason",42,0.0041,2
"Els, Ernie",79,0.00E+00,2
"Fisher, Ross",13,0.0191,2
"Fitzpatrick, Matthew",48,0.0034,2
"Fleetwood, Tommy",9,0.0236,2
"Fowler, Rickie",4,0.0497,2
"Furyk, Jim",60,0.0016,2
"Garcia, Sergio",12,0.02,2
"Grace, Branden",54,0.0023,2
"Grillo, Emiliano",39,0.0045,2
"Haas, Bill",21,0.0095,2
"Hadwin, Adam",27,0.0083,2
"Hahn, James",58,0.0017,2
"Hatton, Tyrrell",7,0.0317,2
"Henley, Russell",16,0.0128,2
"Hoffman, Charley",33,0.0063,2
"Holmes, J.B.",25,0.0089,2
"Hughes, Mackenzie",63,0.0013,2
"Hurley III, Billy",70,0.001,2
"Ikeda, Yuta",76,3.00E-04,2
"Johnson, Dustin",1,0.2219,2
"Johnson, Zach",46,0.0036,2
"Kaymer, Martin",34,0.0061,2
"Kim, Si Woo",79,0.00E+00,2
"Kisner, Kevin",18,0.0105,2
"Kjeldsen, Soren",63,0.0013,2
"Knox, Russell",68,0.0011,2
"Koepka, Brooks",49,0.0033,2
"Kuchar, Matt",29,0.0081,2
"Leishman, Marc",15,0.0133,2
"Lowry, Shane",24,0.0091,2
"Matsuyama, Hideki",5,0.0431,2
"McGirt, William",61,0.0015,2
"McIlroy, Rory",2,0.1222,2
"Mickelson, Phil",14,0.0142,2
"Molinari, Francesco",26,0.0086,2
"Moore, Ryan",34,0.0061,2
"Na, Kevin",51,0.0025,2
"Noren, Alex",68,0.0011,2
"O'Hair, Sean",40,0.0044,2
"Oosthuizen, Louis",17,0.0106,2
"Pampling, Rod",61,0.0015,2
"Perez, Pat",52,0.0024,2
"Piercy, Scott",45,0.0038,2
"Pieters, Thomas",40,0.0044,2
"Rahm, Jon",8,0.0314,2
"Reed, Patrick",32,0.0064,2
"Rose, Justin",6,0.0379,2
"Schwartzel, Charl",46,0.0036,2
"Scott, Adam",21,0.0095,2
"Simpson, Webb",55,0.0018,2
"Singh, Vijay",77,2.00E-04,2
"Snedeker, Brandt",27,0.0083,2
"Spieth, Jordan",3,0.0564,2
"Steele, Brendan",37,0.0052,2
"Stenson, Henrik",19,0.0101,2
"Stricker, Steve",63,0.0013,2
"Stuard, Brian",75,6.00E-04,2
"Sullivan, Andy",44,0.004,2
"Summerhays, Daniel",67,0.0012,2
"Swafford, Hudson",36,0.0053,2
"Tanihara, Hideto",55,0.0018,2
"Thomas, Justin",11,0.0217,2
"Vegas, Jhonattan",63,0.0013,2
"Walker, Jimmy",52,0.0024,2
"Wang, Jeunghun",77,2.00E-04,2
"Watson, Bubba",38,0.0049,2
"Westwood, Lee",55,0.0018,2
"Wiesberger, Bernd",50,0.0029,2
"Willett, Danny",74,7.00E-04,2
"Wood, Chris",58,0.0017,2
"Woodland, Gary",20,0.0097,2
