first,last,odds1,odds2
Dustin,Johnson,5,1
Jordan,Spieth,13,2
Rory,McIlroy,8,1
Jason,Day,31,2
Phil,Mickelson,17,1
Jon,Rahm,18,1
Rickie,Fowler,18,1
Hideki,Matsuyama,22,1
Justin,Rose,30,1
Sergio,Garcia,30,1
Henrik,Stenson,32,1
Adam,Scott,35,1
Bubba,Watson,35,1
Justin,Thomas,35,1
Paul,Casey,40,1
Brandt,Snedeker,50,1
Louis,Oosthuizen,55,1
Matt,Kuchar,55,1
Tyrrell,Hatton,55,1
Patrick,Reed,60,1
Brooks,Koepka,65,1
Marc,Leishman,65,1
Matthew,Fitzpatrick,65,1
Thomas,Pieters,65,1
Charl,Schwartzel,75,1
Daniel,Berger,75,1
Jimmy,Walker,85,1
Lee,Westwood,85,1
Zach,Johnson,85,1
Adam,Hadwin,100,1
Bill,Haas,100,1
Branden,Grace,100,1
Gary,Woodland,100,1
Russell,Henley,100,1
Tommy,Fleetwood,110,1
Shane,Lowry,115,1
J.B.,Holmes,120,1
Danny,Willett,125,1
Kevin,Kisner,125,1
Martin,Kaymer,125,1
Alex,Noren,130,1
Charley,Hoffman,135,1
Emiliano,Grillo,135,1
Rafael,CabreraBello,135,1
Ryan,Moore,135,1
Jason,Dufner,140,1
Russell,Knox,150,1
Francesco,Molinari,160,1
Jim,Furyk,160,1
Kevin,Na,160,1
Pat,Perez,160,1
Ross,Fisher,160,1
Angel,Cabrera,175,1
Soren,Kjeldsen,175,1
Brendan,Steele,200,1
Byeong,HunAn,200,1
Scott,Piercy,200,1
Andy,Sullivan,220,1
Bernd,Wiesberger,220,1
Fred,Couples,225,1
Hideto,Tanihara,250,1
Hudson,Swafford,250,1
Jhonattan,Vegas,250,1
Kevin,Chappell,250,1
Steve,Stricker,250,1
Webb,Simpson,250,1
Chris,Wood,300,1
Ernie,Els,300,1
Jeunghun,Wang,300,1
Sean,O'Hair,300,1
William,McGirt,300,1
Bernhard,Langer,500,1
Billy,HurleyIII,500,1
Brian,Stuard,500,1
Curtis,Luck,500,1
Daniel,Summerhays,500,1
James,Hahn,500,1
Mackenzie,Hughes,500,1
Roberto,Castro,500,1
Rod,Pampling,500,1
Si,WooKim,500,1
Vijay,Singh,500,1
Yuta,Ikeda,500,1
Brad,Dalke,1000,1
Jose,MariaOlazabal,1000,1
Ian,Woosnam,2000,1
Mark,OMeara,2000,1
Mike,Weir,2000,1
Scott,Gregory,2000,1
Stewart,Hagestad,2000,1
Toto,Gana,2000,1
Trevor,Immelman,2000,1
Larry,Mize,5000,1
Sandy,Lyle,5000,1
