"name","vegasranks"
"McIlroy, Rory",1
"Scott, Adam",2
"Mickelson, Phil",3
"Day, Jason",4
"Johnson, Dustin",5
"Kuchar, Matt",5
"Stenson, Henrik",7
"Watson, Bubba",8
"Rose, Justin",9
"Garcia, Sergio",9
"Johnson, Zach",9
"Snedeker, Brandt",12
"Spieth, Jordan",12
"Bradley, Keegan",12
"Schwartzel, Charl",15
"Mahan, Hunter",15
"Dufner, Jason",15
"Westwood, Lee",15
"Cabrera, Angel",19
"McDowell, Graeme",19
"English, Harris",19
"Poulter, Ian",19
"Oosthuizen, Louis",19
"Donald, Luke",19
"Reed, Patrick",19
"Walker, Jimmy",26
"DeLaet, Graham",27
"Matsuyama, Hideki",27
"Furyk, Jim",27
"Fowler, Rickie",27
"Simpson, Webb",27
"Haas, Bill",32
"Woodland, Gary",32
"Watney, Nick",32
"Moore, Ryan",32
"Stricker, Steve",32
"Dubuisson, Victor",32
"Donaldson, Jamie",38
"Choi, K.J.",38
"Leishman, Marc",38
"Olesen, Thorbjorn",38
"Horschel, Billy",42
"Els, Ernie",42
"Molinari, Francesco",42
"Kaymer, Martin",42
"Every, Matt",42
"Manassero, Matteo",42
"Hanson, Peter",42
"Grace, Branden",49
"Kirk, Chris",49
"Couples, Fred",49
"Fdez-Castano, Gonzalo",49
"Senden, John",49
"Laird, Martin",49
"Jimenez, Miguel Angel",49
"Harrington, Padraig",49
"Henley, Russell",49
"Stallings, Scott",49
"Bjorn, Thomas",49
"Immelman, Trevor",49
"de Jonge, Brendon",61
"Blixt, Jonas",61
"Luiten, Joost",61
"Stadler, Kevin",61
"Streelman, Kevin",61
"Castro, Roberto",61
"Bae, Sangmoon",61
"Clark, Tim",61
"Lynn, David",69
"Huh, John",69
"Siem, Marcel",69
"Cink, Stewart",69
"Jaidee, Thongchai",69
"Singh, Vijay",69
"Yang, Y.E.",69
"Weekley, Boo",76
"Points, D.A.",76
"Glover, Lucas",76
"Bowditch, Steven",76
"Clarke, Darren",80
"Duke, Ken",80
"Langer, Bernhard",82
"Weir, Mike",82
"WooLee, Chang",84
"Ernst, Derek",84
"Porteous, Garrick",84
"Niebrugge, Jordan",84
"Fitzpatrick, Matthew",84
"McCoy, Michael",84
"Goss, Oliver",84
"Crenshaw, Ben",91
"Stadler, Craig",91
"Woosnam, Ian",91
"MariaOlazabal, Jose",91
"O'Meara, Mark",91
"Watson, Tom",91
"Mize, Larry",97
"Lyle, Sandy",97
