"name","Vegasodds","vegasranks"
"Bae, Sangmoon",250,57
"Bjorn, Thomas",300,66
"Blixt, Jonas",150,43
"Bradley, Keegan",60,20
"Cabrera, Angel",80,28
"Casey, Paul",70,25
"Clarke, Darren",1000,82
"Compton, Erik",500,75
"Couples, Fred",150,43
"Crane, Ben",500,75
"Day, Jason",12,4
"Donald, Luke",100,34
"Donaldson, Jamie",125,38
"Dubuisson, Victor",100,34
"Dufner, Jason",125,38
"Els, Ernie",150,43
"Every, Matt",250,57
"Fowler, Rickie",30,12
"Furyk, Jim",70,25
"Gallacher, Stephen",300,66
"Garcia, Sergio",40,15
"Grace, Branden",200,54
"Haas, Bill",80,28
"Hahn, James",200,54
"Harman, Brian",500,75
"Harrington, Padraig",150,43
"Henley, Russell",125,38
"Hoffman, Charley",250,57
"Hoffmann, Morgan",250,57
"Holmes, J.B.",35,14
"Horschel, Billy",70,25
"Ilonen, Mikko",500,75
"Immelman, Trevor",500,75
"Jaidee, Thongchai",500,75
"Jimenez, Miguel Angel",150,43
"Johnson, Dustin",12,4
"Johnson, Zach",60,20
"Kaymer, Martin",65,24
"Kirk, Chris",150,43
"Koepka, Brooks",80,28
"Kuchar, Matt",30,12
"Lahiri, Anirban",300,66
"Langer, Bernhard",300,66
"Lowry, Shane",150,43
"Luiten, Joost",250,57
"Mahan, Hunter",100,34
"Martin, Ben",300,66
"Matsuyama, Hideki",60,20
"McDowell, Graeme",150,43
"McIlroy, Rory",8,1
"Mickelson, Phil",20,7
"Moore, Ryan",60,20
"Na, Kevin",100,34
"Noh, Seung-Yul",300,66
"Ogilvy, Geoff",300,66
"Oosthuizen, Louis",50,19
"Palmer, Ryan",80,28
"Poulter, Ian",80,28
"Reed, Patrick",25,11
"Rose, Justin",40,15
"Schwartzel, Charl",80,28
"Scott, Adam",20,7
"Senden, John",250,57
"Simpson, Webb",150,43
"Singh, Vijay",125,38
"Snedeker, Brandt",40,15
"Spieth, Jordan",8,1
"Stadler, Kevin",500,75
"Stenson, Henrik",20,7
"Streb, Robert",300,66
"Streelman, Kevin",150,43
"Stricker, Steve",200,54
"Todd, Brendon",250,57
"Tringale, Cameron",300,66
"Villegas, Camilo",250,57
"Walker, Jimmy",18,6
"Watson, Bubba",10,3
"Watson, Tom",1000,82
"Weir, Mike",1000,82
"Westwood, Lee",45,18
"Wiesberger, Bernd",250,57
"Willett, Danny",150,43
"Woodland, Gary",125,38
"Woods, Tiger",20,7
"Yang, Gunn",1000,82
