"name","vegasodds","vegasranks"
"Day, Jason",6.5,1
"McIlroy, Rory",8,2
"Spieth, Jordan",8.5,3
"Scott, Adam",12,4
"Watson, Bubba",12,4
"Johnson, Dustin",15,6
"Mickelson, Phil",15,6
"Fowler, Rickie",15,6
"Stenson, Henrik",25,9
"Rose, Justin",25,9
"Oosthuizen, Louis",28,11
"Schwartzel, Charl",35,12
"Matsuyama, Hideki",45,13
"Reed, Patrick",45,13
"Snedeker, Brandt",50,15
"Willett, Danny",50,15
"Garcia, Sergio",50,15
"Johnson, Zach",50,15
"Koepka, Brooks",65,19
"Walker, Jimmy",65,19
"Leishman, Marc",65,19
"Kuchar, Matt",65,19
"Casey, Paul",65,19
"Grace, Branden",85,24
"Kisner, Kevin",85,24
"Cabrera Bello, Rafa",90,26
"Hoffman, Charley",100,27
"Haas, Bill",110,28
"Dufner, Jason",110,28
"Thomas, Justin",110,28
"Moore, Ryan",110,28
"English, Harris",130,32
"Poulter, Ian",130,32
"Holmes, J.B.",130,32
"Na, Kevin",130,32
"Cabrera, Angel",150,36
"DeChambeau, Bryson",150,36
"Sullivan, Andy",160,38
"Horschel, Billy",160,38
"An, Byeong Hun",160,38
"Kirk, Chris",160,38
"Lee, Danny",160,38
"Westwood, Lee",160,38
"Kaymer, Martin",160,38
"Lowry, Shane",160,38
"Wiesberger, Bernd",200,46
"Berger, Daniel",200,46
"Lingmerth, David",200,46
"Grillo, Emiliano",200,46
"McDowell, Graeme",200,46
"Mahan, Hunter",200,46
"Donaldson, Jamie",200,46
"Bradley, Keegan",200,46
"Streelman, Kevin",200,46
"Knox, Russell",200,46
"Dubuisson, Victor",200,46
"Simpson, Webb",200,46
"Els, Ernie",225,58
"Lahiri, Anirban",250,59
"Wood, Chris",250,59
"Fitzpatrick, Matthew",250,59
"Piercy, Scott",250,59
"Kaufman, Smylie",250,59
"Smith, Cameron",300,64
"Herman, Jim",300,64
"Aphibarnrat, Kiradech",300,64
"Streb, Robert",300,64
"Jaidee, Thongchai",300,64
"Merritt, Troy",300,64
"Taylor, Vaughn",300,64
"Langer, Bernhard",500,71
"Love III, Davis",500,71
"Gomez, Fabian",500,71
"Kjeldsen, Soren",500,71
"Bowditch, Steven",500,71
"Singh, Vijay",500,71
"Clarke, Darren",1000,77
"Cheng, Jin",1000,77
"Immelman, Trevor",1000,77
"Schmitz, Sammy",1750,80
"Bard, Derek",2000,81
"Weir, Mike",2000,81
"Langasque, Romain",2000,81
"OMeara, Mark",2500,84
"Chaplet, Paul",2500,84
"Watson, Tom",2500,84
"Woosnam, Ian",5000,87
"Lyle, Sandy",5000,87
"Mize, Larry",9000,89
