"","Player.Name","Tournament.Year","freq"
"1","Langasque, Romain",2016,72
"2","Jin, Cheng",2016,36
"3","Bard, Derek",2016,36
"4","Chaplet, Paul",2016,36
"5","Woosnam, Ian",2016,36
"6","Schmitz, Sammy",2016,36
"7","Murdaca, Anthony",2015,36
"8","Meth, Byron",2015,36
"9","Dominguez, Matias",2015,36
"10","Harvey, Scott",2015,36
"11","Woosnam, Ian",2015,36
"12","Woosnam, Ian",2014,36
"13","Porteous, Garrick",2014,36
"14","McCoy, Michael",2014,36
"15","Lee, Chang-woo",2014,36
"16","Smith, Nathan T.",2013,36
"17","Dunbar, Alan",2013,36
"18","Weaver, Michael",2013,36
"19","Woosnam, Ian",2013,36
"20","Woosnam, Ian",2012,36
"21","Lewis, Randal",2012,36
"22","Woosnam, Ian",2011,36
"23","Havret, Gregory",2011,36
"24","Smith, Nathan T.",2011,36
"25","Jeong, Jin",2011,36
"26","Chung, David",2011,36
"27","Kim, Lion",2011,36
"28","Woosnam, Ian",2010,36
"29","Smith, Nathan T.",2010,36
"30","Han, Chang-won",2010,36
"31","Player, Gary",2009,36
"32","Woosnam, Ian",2009,36
"33","Zoeller, Fuzzy",2009,36
"34","Wilson, Steve",2009,36
"35","Kittleson, Drew",2009,36
"36","Player, Gary",2008,36
"37","Woosnam, Ian",2008,72
"38","Zoeller, Fuzzy",2008,36
"39","Kuehne, Trip",2008,36
"40","Liang, WC",2008,36
"41","Ballesteros, Seve",2007,36
"42","Player, Gary",2007,36
"43","Zoeller, Fuzzy",2007,72
"44","Ferrie, Kenneth",2007,36
"45","Dredge, Bradley",2007,72
"46","Guerrier, Julien",2007,36
"47","Watabu, Casey",2007,36
"48","Womack, Dave",2007,36
"49","Kelly, John M.",2007,36
"50","Coody, Charles",2006,36
"51","Player, Gary",2006,36
"52","Woosnam, Ian",2006,36
"53","Zoeller, Fuzzy",2006,36
"54","Marsh, Kevin",2006,36
"55","McElhinney, Brian",2006,36
"56","Dougherty, Dillon",2006,36
"57","Ogden, Clay",2006,36
"58","Aaron, Tommy",2005,36
"59","Casper, Billy",2005,18
"60","Coody, Charles",2005,36
"61","Player, Gary",2005,36
"62","Woosnam, Ian",2005,36
"63","Zoeller, Fuzzy",2005,36
"64","Haeggman, Joakim",2005,36
"65","Wilson, Stuart",2005,36
"66","List, Luke",2005,72
"67","Eaton III, Austin",2005,36
"68","Aaron, Tommy",2004,36
"69","Coody, Charles",2004,36
"70","Palmer, Arnold",2004,36
"71","Player, Gary",2004,36
"72","Woosnam, Ian",2004,36
"73","Zoeller, Fuzzy",2004,36
"74","Wolstenholme, Gary",2004,36
"75","Izawa, Toshi",2004,36
"76","Smith, Nathan T.",2004,36
