"","name","Vegasodds","vegasRanks"
"1","Day, Jason",6.5,1
"2","McIlroy, Rory",8,2
"3","Spieth, Jordan",8.5,3
"4","Scott, Adam",12,4
"5","Watson, Bubba",12,4
"6","Johnson, Dustin",15,6
"7","Mickelson, Phil",15,6
"8","Fowler, Rickie",15,6
"9","Stenson, Henrik",25,9
"10","Rose, Justin",25,9
"11","Oosthuizen, Louis",28,11
"12","Schwartzel, Charl",35,12
"13","Matsuyama, Hideki",45,13
"14","Reed, Patrick",45,13
"15","Snedeker, Brandt",50,15
"16","Willett, Danny",50,15
"17","Garcia, Sergio",50,15
"18","Johnson, Zach",50,15
"19","Koepka, Brooks",65,19
"20","Walker, Jimmy",65,19
"21","Leishman, Marc",65,19
"22","Kuchar, Matt",65,19
"23","Casey, Paul",65,19
"24","Grace, Branden",85,24
"25","Kisner, Kevin",85,24
"26","Cabrera Bello, Rafa",90,26
"27","Hoffman, Charley",100,27
"28","Haas, Bill",110,28
"29","Dufner, Jason",110,28
"30","Thomas, Justin",110,28
"31","Moore, Ryan",110,28
"32","English, Harris",130,32
"33","Poulter, Ian",130,32
"34","Holmes, J.B.",130,32
"35","Na, Kevin",130,32
"36","Cabrera, Angel",150,36
"37","DeChambeau, Bryson",150,36
"38","Sullivan, Andy",160,38
"39","Horschel, Billy",160,38
"40","An, Byeong Hun",160,38
"41","Kirk, Chris",160,38
"42","Lee, Danny",160,38
"43","Westwood, Lee",160,38
"44","Kaymer, Martin",160,38
"45","Lowry, Shane",160,38
"46","Wiesberger, Bernd",200,46
"47","Berger, Daniel",200,46
"48","Lingmerth, David",200,46
"49","Grillo, Emiliano",200,46
"50","McDowell, Graeme",200,46
"51","Mahan, Hunter",200,46
"52","Donaldson, Jamie",200,46
"53","Bradley, Keegan",200,46
"54","Streelman, Kevin",200,46
"55","Knox, Russell",200,46
"56","Dubuisson, Victor",200,46
"57","Simpson, Webb",200,46
"58","Els, Ernie",225,58
"59","Lahiri, Anirban",250,59
"60","Wood, Chris",250,59
"61","Fitzpatrick, Matthew",250,59
"62","Piercy, Scott",250,59
"63","Kaufman, Smylie",250,59
"64","Smith, Cameron",300,64
"65","Herman, Jim",300,64
"66","Aphibarnrat, Kiradech",300,64
"67","Streb, Robert",300,64
"68","Jaidee, Thongchai",300,64
"69","Merritt, Troy",300,64
"70","Taylor, Vaughn",300,64
"71","Langer, Bernhard",500,71
"72","Love III, Davis",500,71
"73","Gomez, Fabian",500,71
"74","Kjeldsen, Soren",500,71
"75","Bowditch, Steven",500,71
"76","Singh, Vijay",500,71
"77","Clarke, Darren",1000,77
"78","Cheng, Jin",1000,77
"79","Immelman, Trevor",1000,77
"80","Schmitz, Sammy",1750,80
"81","Bard, Derek",2000,81
"82","Weir, Mike",2000,81
"83","Langasque, Romain",2000,81
"84","OMeara, Mark",2500,84
"85","Chaplet, Paul",2500,84
"86","Watson, Tom",2500,84
"87","Woosnam, Ian",5000,87
"88","Lyle, Sandy",5000,87
"89","Mize, Larry",9000,89
